,smiles,logP
4486,Nc1cccc(C(F)(F)F)c1,2.29
4496,CC(=O)OCc1ccccc1,1.96
4513,c1ccc(Sc2ccccc2)cc1,4.45
4529,CCCCCCCCCCCCc1ccccc1,8.65
4537,O=C1CCCO1,-0.64
4538,O=C1CCCN1,-0.85
4539,CN1CCCC1=O,-0.38
4541,CC(C)(O)C(Cl)(Cl)Cl,2.03
4559,O=C(O)Cc1ccc(I)cc1,2.64
4574,Nc1ccc(Oc2ccccc2)cc1,2.96
4593,CC(C)(C)O,0.35
4594,Clc1ccccn1,1.22
4609,Nc1cc([N+](=O)[O-])ccc1O,1.26
4617,COc1ccc(F)cc1,2.26
4627,Clc1ccc2ncccc2c1,2.73
4632,COc1ccc(NC(C)=O)cc1,1.03
4633,CCOC(=O)c1ccc(N)cc1,1.86
4653,c1ccc(Cc2ccccc2)cc1,4.14
4654,Nc1ccc(Cc2ccc(N)cc2)cc1,1.59
4677,NNC(N)=O,-2.75
4682,CN1CSC(=S)N(C)C1,1.4
4683,Nc1ccccc1S,1.43
4685,O=C(O)c1ccc(O)cc1O,1.63
4691,C=CCOc1ccccc1,2.94
4698,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,0.35
4699,O=[N+]([O-])c1ccccc1Nc1ccccc1,3.66
4709,C=CC(=O)O,0.35
4713,C=C(C)C(=O)OC,1.38
4718,ON=C1C=CC(=NO)C=C1,1.49
4720,Nc1cccc(N)c1,-0.33
4721,Nc1ccc(N)cc1,-0.3
4739,CC(=O)Oc1cccc(C)c1,2.09
4740,CC(=O)OCC(COC(C)=O)OC(C)=O,0.25
4746,CC(C)(C)c1ccc(C(=O)O)cc1,3.85
4776,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,3.75
4781,O=CO,-0.54
4787,N#CCCC#N,-0.99
4790,CCCOC(N)=O,0.36
4796,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.93
4800,CCCS(=O)(=O)CCC,0.39
4802,O=C1NS(=O)(=O)c2ccccc21,0.91
4810,CCOc1cccc(O)c1,1.98
4816,CC1=CC(=O)CC(C)(C)C1,1.7
4890,COc1cccc([N+](=O)[O-])c1,2.16
4891,C#Cc1ccccc1,2.53
4893,OCCNCCO,-1.43
4894,COc1ccc(O)cc1,1.58
4895,O=C(O)c1ccc(O)cc1,1.58
4896,Cc1cc(O)ccc1O,0.91
4897,CC(O)CNCC(C)O,-0.82
4898,Cc1cc(O)c(C(C)C)cc1Cl,3.92
4902,CC(=O)N(C)c1ccc(O)cc1,0.61
4904,Oc1ccc(Br)cc1,2.59
4908,C/C=N\O,-0.13
4927,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.0
4957,CCCCCCCC(=O)O,3.05
4958,CCCCCCCCCC(=O)O,4.09
4959,CCCCCCCCCCCC(=O)O,4.6
4960,CCCCCCCCCCCC(=O)OC,5.41
4961,CCCCCCCCCCCCCC(=O)O,6.11
4962,CCCCCCCCCCCCCC(=O)OC,6.41
4963,CCCCCCCCCCCCCCCC(=O)O,7.17
4966,NC(N)=S,-1.08
4967,O=Nc1ccc2ccccc2c1O,2.46
4969,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.07
4972,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-0.78
4983,O=NN(Cc1ccccc1)c1ccccc1,3.38
4998,CN1CCCC1c1cccnc1,1.17
5006,CC(=O)NO,-1.59
5009,Ic1cccnc1,1.8
5010,Fc1ccccn1,0.84
5011,Fc1cccnc1,0.77
5012,O=[N+]([O-])c1cc[n+]([O-])cc1,-0.55
5026,C1=C\C=C/C=C\C=C/1,3.08
5028,CCc1ccccc1[N+](=O)[O-],2.58
5031,Cc1ccc(CN)cc1,1.46
5036,CC(C)c1ccccc1O,2.88
5038,CC(C)c1cccc(C(C)C)c1O,3.79
5047,CC1(C)OC(=O)c2ccccc21,1.73
5086,COC(=O)/C=C/C(=O)OC,0.74
5088,C=CC(=O)OCCCC,2.36
5089,C1CCCCCC1,4.0
5090,COc1ccccc1OCC(=O)O,0.98
5092,Cc1cccc(C)c1C,3.66
5097,OC1CCCc2ccccc21,1.98
5106,O=C1c2ccccc2-c2ccccc21,3.58
5107,O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2,3.37
5110,C(#Cc1ccccc1)c1ccccc1,4.78
5114,O=C1c2ccccc2-c2cccc3cccc1c23,4.81
5169,Oc1ccc(C2CCCCC2)cc1,4.22
5210,OCc1ccc(Cl)cc1,1.96
5213,CCOC(OCC)OCC,1.2
5216,c1ccc2c(c1)CCC2,3.18
5217,Cc1ccccc1OCC(=O)O,1.98
5227,COc1ccc(/C=C/C(=O)O)cc1,2.68
5231,CCOC(=O)C(O)c1ccccc1,1.53
5245,O=C(O)C1c2ccccc2-c2ccccc21,2.8
5247,Cc1ccc(C(O)c2ccccc2)cc1,3.13
5263,NS(=O)(=O)c1ccccc1,0.31
5264,CN(C)Cc1ccccc1,1.98
5270,O=C(O)c1ccccc1C(=O)O,0.73
5272,CCCC(C)=O,0.91
5275,Cc1cc(C)c(O)c(C)c1,2.73
5276,Nc1ccccc1N,0.15
5278,CN(C)C=O,-1.01
5286,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.82
5287,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1.93
5291,CC(C)[N+](=O)[O-],0.93
5300,Nc1ccc([N+](=O)[O-])cc1N,0.88
5304,N#Cc1cccc([N+](=O)[O-])c1,1.17
5305,N#Cc1ccc([N+](=O)[O-])cc1,1.19
5308,Cc1ccc(Cl)cc1[N+](=O)[O-],3.05
5309,Cc1ccc(O)c([N+](=O)[O-])c1,2.37
5310,O=[N+]([O-])c1cccc(CO)c1,1.21
5311,O=[N+]([O-])c1ccc(CO)cc1,1.26
5312,CNc1ccc([N+](=O)[O-])cc1,2.04
5314,N#CCCCCCC#N,0.05
5318,N#CCc1ccc([N+](=O)[O-])cc1,1.37
5319,CC(=O)Oc1ccccc1[N+](=O)[O-],1.55
5320,O=C(O)Cc1ccc([N+](=O)[O-])cc1,1.39
5324,Cc1cccc([N+](=O)[O-])c1C,2.83
5342,O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,3.92
5423,O=[N+]([O-])c1cccc(Cl)c1,2.46
5425,O=Cc1cccc([N+](=O)[O-])c1,1.47
5427,COc1ccccc1[N+](=O)[O-],1.73
5428,COc1ccc([N+](=O)[O-])cc1,2.03
5430,COc1ccc(N)c([N+](=O)[O-])c1,1.94
5431,COc1ccc([N+](=O)[O-])cc1N,1.47
5432,CC(=O)c1cccc([N+](=O)[O-])c1,1.42
5433,NC(=O)c1ccccc1C(N)=O,-1.73
5434,CCCCCCCC#N,2.75
5437,COc1ccc(NC(C)=O)c([N+](=O)[O-])c1,1.09
5438,CN(C)c1ccc(C=O)cc1,1.81
5442,CCCCCCCCCO,3.77
5444,Nc1ccc2ccccc2c1S(=O)(=O)O,-1.16
5491,N#CCC(=O)O,-0.76
5497,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,3.93
5503,S=C=Nc1ccccc1,3.28
5510,COc1ccc(C=O)cc1,1.76
5521,COc1ccc(C(C)=O)cc1,1.74
5525,CC(=O)/C=C/c1ccccc1,2.07
5526,CCOC(=O)C(=O)Nc1ccccc1,1.48
5626,CCCCCO,1.51
5627,CC(C)CO,0.76
5628,NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.47
5629,NNc1ccccc1,1.25
5630,O=C1CCCCC1,0.81
5631,CC(=O)CC(C)C,1.31
5632,O=Cc1ccccc1[N+](=O)[O-],1.74
5642,Oc1ccc(Br)cc1Br,3.22
5648,C1CCc2nnnn2CC1,0.14
5654,CC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.1
5655,Oc1c(Cl)cc(Cl)c2ccccc12,4.23
5659,CCCOC(=O)c1ccc(O)cc1,3.04
5665,CCC1C(=O)OCC1Cc1cncn1C,0.12
5670,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-1.22
5696,NC(=S)Nc1ccccc1,0.71
5763,NCCCCN,-0.7
5775,Cn1c(=O)ccc2ccccc21,1.45
5791,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,2.88
5833,c1ccc(COCc2ccccc2)cc1,3.31
5837,NNc1ccc(Br)cc1,1.39
5839,NN(c1ccccc1)c1ccccc1,2.8
5982,Nc1cccc2cccc(N)c12,1.78
5985,CNC(C)Cc1ccccc1,2.07
5992,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.97
5998,O=C(Cc1ccccc1)c1ccccc1,3.18
6004,O=Cc1ccc([N+](=O)[O-])cc1,1.56
6010,CC(C)CCC#N,1.54
6012,N#Cc1ccc(Cl)cc1,2.47
6016,CC(=O)c1ccc(Cl)cc1,2.32
6017,CC(=O)Nc1cccc(Cl)c1,2.15
6021,CC(C)=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],3.05
6024,CCCC(=O)Nc1ccccc1,2.05
6036,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.02
6050,Cl/C=C/Cl,2.09
6054,CC(Cl)[N+](=O)[O-],1.1
6057,Nc1ccc(Cl)cc1N,1.28
6062,COc1ccc(C)cc1N,1.74
6063,Clc1ccc2ccccc2n1,2.71
6066,Clc1cccc2ccccc12,3.9
6071,CC12CCC(CC1)C(C)(C)O2,2.5
6075,c1ccc2c(c1)ccc1c3ccccc3ccc21,5.5
6078,BrC(Br)(Br)Br,3.42
6079,N#CCCl,0.45
6082,Nc1ccccc1Cl,1.9
6090,Nc1ccc(Sc2ccc(N)cc2)cc1,2.18
6103,ClCCCCl,2.0
6113,Oc1c(Br)cccc1Br,3.36
6114,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,1.37
6134,CN(C)c1ccc(/N=N/c2ccccc2)cc1,4.58
6145,O=C1CCCCO1,-0.35
6151,COc1ccccc1C,2.74
6152,COc1ccc(C)cc1,2.66
6153,COc1cccc(C)c1,2.66
6155,CC(=O)Oc1ccccc1C,1.93
6187,OCCSCCO,-0.63
6190,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,2.17
6192,O=[N+]([O-])c1cc(Cl)ccc1Cl,3.09
6193,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,3.12
6194,Oc1cc(Cl)ccc1Cl,3.06
6195,Ic1ccc(I)cc1,4.11
6198,ON=C1CCCCC1,0.84
6201,O=C(O)c1cc(I)cc(I)c1O,4.56
6203,N#Cc1ccc(C(=O)O)cc1,1.56
6209,O=C1CC(=O)c2ccccc21,0.61
6220,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,2.58
6225,COc1ccc(CCN)cc1OC,0.77
6244,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,5.1
6246,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,5.53
6259,C=CC#N,0.25
6260,CCC[N+](=O)[O-],0.87
6265,CC(C)C(O)C(C)(C)CO,1.24
6267,CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.72
6285,S=P(N1CC1)(N1CC1)N1CC1,0.53
6382,CCC=O,0.59
6389,Cc1nc2ccccc2[nH]1,1.43
6401,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,6.25
6412,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.36
6413,C=CCO,0.17
6416,Brc1ccccc1,2.99
6418,Cc1ccc(Br)cc1,3.42
6437,CC(C)C(=O)c1ccccc1,2.73
6442,CC(C)(C)c1ccccc1,4.11
6474,Cc1ccc(C(C)(C)C)cc1,5.17
6622,COP(=O)(OC)OC=C(Cl)Cl,1.47
6631,ClCC1CO1,0.45
6638,CCOCOCC,0.84
6646,CCOC(=O)c1cccc([N+](=O)[O-])c1,2.35
6647,CCOC(=O)c1ccc([N+](=O)[O-])cc1,2.33
6654,Cc1cc(C)c(C)cc1C,4.0
6657,CCOC(=O)/C=C/c1ccccc1,2.99
6658,CCOC(=O)CC(=O)c1ccccc1,1.87
6663,O=S(c1ccccc1)c1ccccc1,2.06
6664,O=S(=O)(c1ccccc1)c1ccccc1,2.4
6667,c1ccc(Nc2ccccc2)cc1,3.5
6671,c1ccc2c(c1)Cc1ccccc1-2,4.18
6678,c1ccc(OCCOc2ccccc2)cc1,3.81
6687,c1ccc2c(c1)-c1cccc3cccc-2c13,5.16
6694,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,6.03
6713,CCCCN(CCCC)N=O,2.63
6736,CCOC(=O)c1ccncc1,1.43
6833,Sc1ccccc1,2.52
6850,Oc1ccccc1Br,2.35
6853,C=CCCC(C)=O,1.02
6856,O=C(O)c1ccccc1Br,2.2
6857,COc1ccccc1Br,2.86
6958,N#CN,-0.82
6959,CC(=O)OCCBr,1.11
6964,O=[N+]([O-])c1cccc(Br)c1,2.64
6965,Nc1ccc(Br)cc1,2.26
6966,Nc1ccccc1Br,2.11
6994,CCCCNc1ccccc1,3.58
7049,Nc1ccc(S(=O)(=O)O)cc1,-2.16
7056,CC(=O)NCCc1ccccc1,1.19
7067,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1.49
7072,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.98
7073,CN(C)c1ccccc1,2.31
7076,CC(C)c1ccc(N)cc1,2.49
7079,Oc1ccc2c(O)cccc2c1,1.94
7080,Oc1cccc2c(O)cccc12,1.94
7083,CCN(CC)c1ccccc1,3.31
7094,CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,4.37
7170,BrCBr,1.7
7171,ClCBr,1.41
7178,CCNC,0.15
7181,CCC(C)C(=O)O,1.18
7190,CCCCCC(C)=O,1.98
7192,CCCCCCCBr,4.36
7197,COC(=O)c1ccccc1Cl,2.38
7201,COC(=O)c1ccc(OC)cc1,2.27
7236,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.05
7266,O=C1C(=O)c2ccccc2-c2ccccc21,2.52
7270,C=C(C)C(=O)O,0.93
7291,O=S(=O)(O)c1ccc2ccccc2c1,0.63
7358,COc1ccc(OC)cc1,2.04
7360,CCN(CCO)c1ccccc1,2.1
7364,CCCN,0.48
7387,CC1CCCC(C)N1,1.53
7388,Cc1cc2ccccc2[nH]1,2.53
7395,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,2.48
7396,COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1O,0.64
7416,Nc1cccc(S(N)(=O)=O)c1,-0.38
7424,Nc1ccc(C(=O)NCC(=O)O)cc1,-0.89
7445,Nc1c2ccccc2nc2ccccc12,2.74
7457,C1CC2OC2CC1C1CO1,0.44
7467,CC#N,-0.34
7468,CC=O,-0.34
7470,C=CCBr,1.79
7474,C=CCN,0.03
7475,CC(C)=NO,0.12
7476,CC(N)C(=O)O,-2.96
7477,NCCC(=O)O,-3.05
7478,CC(C)O,0.05
7482,CNC(=O)NC(C)=O,-0.7
7486,C=CCOC(C)=O,0.97
7491,N#CCCCCC#N,-0.32
7492,Nc1ccc(S(N)(=O)=O)cc1,-0.62
7495,CC(=O)CCC(C)=O,-0.27
7496,O=C(O)CCCCC(=O)O,0.08
7498,CCOC(C)OCC,0.84
7501,Nc1ccc(C(=O)O)cc1,0.83
7504,Cc1ccc(O)c(N)c1,1.16
7505,COc1cccc(N)c1,0.93
7506,C=CC(OC(C)=O)OC(C)=O,0.78
7509,CC(=O)c1ccccc1,1.58
7510,CC(=O)Nc1ccccc1,1.16
7511,CC(=O)c1cccc(N)c1,0.83
7513,Cc1ccc(C)c(N)c1,1.83
7518,CC(=O)Nc1ccc(C)cc1,1.7
7520,CC(=O)Nc1cc(C)ccc1C,1.47
7523,CCOc1ccccc1NC(C)=O,1.49
7524,CCOc1cccc(NC(C)=O)c1,1.82
7525,CCOc1ccc(NC(C)=O)cc1,1.58
7530,O=C1C(=O)c2cccc3cccc1c23,1.95
7531,c1cc2c3c(cccc3c1)CC2,3.92
7534,Nc1ccc(-c2ccccc2)cc1,2.86
7535,Nc1ccccc1-c1ccccc1,2.84
7541,C=CCOC(=O)c1ccccc1C(=O)OCC=C,3.23
7573,O=C(O)CCC(=O)O,-0.59
7574,CCCC(=O)O,0.79
7575,CCCCC(=O)O,1.39
7578,O=C(O)CC(O)(CC(=O)O)C(=O)O,-1.72
7579,O=c1[nH]c2ccccc2s1,1.76
7580,O=C(O)c1ccc([N+](=O)[O-])cc1,1.89
7594,COc1ccc(C(=O)O)cc1OC,1.61
7600,CC1=CCC2CC1C2(C)C,4.83
7605,CC(=O)OC(OC(C)=O)c1ccccc1,1.62
7612,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,4.12
7637,CC(O)C#N,-0.94
7638,CN(C)C#N,-0.15
7639,NCCCO,-1.12
7643,N#CCCNCCC#N,-1.34
7651,COc1ccc(C(=O)c2ccccc2)c(O)c1,3.79
7654,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,6.25
7658,C=CC(N)=O,-0.67
7662,Nc1cc([N+](=O)[O-])ccc1C(=O)O,1.91
7704,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,3.0
7714,Cn1cnc2c(N)ncnc21,-0.03
7728,Cn1cnc2ncnc(N)c21,-0.03
7756,CCCCCCCCCCC(=O)O,4.42
7760,O=C1CC(=O)NC(=O)N1,-1.47
7762,NC(=O)CC(N)C(=O)O,-3.82
7766,CCCCCBr,3.37
7771,CCC(C)(C)Cl,2.52
7777,CCCCCN,1.49
7780,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.14
7781,Nc1ccccc1,0.9
7785,N=C(N)NCCCC(N)C(=O)O,-4.2
7788,O=Cc1ccccc1,1.48
7791,COc1ccccc1,2.11
7792,COc1ccc(N)cc1,0.95
7796,O=C(O)C(O)c1ccccc1,0.62
7797,COc1ccc(C(=O)O)cc1,1.96
7799,NC(C(=O)O)c1ccccc1,-1.7
7801,NCC(O)c1ccc(O)c(O)c1,-1.24
7804,Nc1cccc2cccnc12,1.16
7805,Nc1cnc2ccccc2c1,1.63
7816,Cc1cc(=O)n(-c2ccccc2)n1C,0.38
7828,O=C1c2ccccc2C(=O)c2ccccc21,3.39
7829,c1ccc2cc3ccccc3cc2c1,4.45
7835,CCC#N,0.16
7836,CN(C)P(=O)(N(C)C)N(C)C,0.28
7876,ClC(Cl)Br,2.0
7877,BrC(Br)Br,2.4
7882,CCC(Br)C(=O)O,1.42
7886,CC(C)CN,0.73
7887,CCCCN,0.97
7888,CCC(C)N,0.74
7889,Brc1ccccn1,1.42
7892,CCC(C)OC(C)=O,1.72
7893,CC(=O)OCC(C)C,1.78
7896,FC(F)(F)c1ccccc1,3.01
7897,N#Cc1ccccc1,1.56
7899,BrCc1ccccc1,2.92
7900,COc1ccc(Br)cc1,3.05
7901,ClCc1ccccc1,2.3
7902,OCc1ccccc1,1.1
7904,NCc1ccccc1,1.09
7906,CC(=O)Nc1ccc(Br)cc1,2.29
7916,COCc1ccccc1,1.92
7917,CNCc1ccccc1,1.52
7923,CC(=O)NCc1ccccc1,0.95
7924,CCOCc1ccccc1,2.16
7933,c1ccc(Cc2ccncc2)cc1,2.62
7935,O=C(c1ccccc1)c1ccccc1,3.18
7936,Oc1ccc(Cc2ccccc2)cc1,3.47
7938,O=C(OCc1ccccc1)c1ccc(O)cc1,3.56
7939,O=C(OCc1ccccc1)c1ccccc1,3.97
7949,Cc1cc(C)c(C)c(C)c1,4.1
7957,OCC(O)C(O)CO,-2.29
7958,OCC(CO)(CO)CO,-1.69
7975,O=C1OC(C(O)CO)C(O)=C1O,-1.64
7982,O=C(O)CC(=O)O,-0.81
7990,Cc1ccccc1OCC(O)CO,1.41
7991,COc1ccccc1/C=C/C(=O)O,2.54
8010,NCCCN,-1.43
8039,O=C1C=CC(=O)N1c1ccccc1,1.09
8042,Nc1ccccc1SSc1ccccc1N,3.05
8049,C#CC1(O)CCCCC1,1.73
8059,COC(=O)c1ccccc1O,2.55
8064,CCOC(=O)c1ccccc1O,2.95
8076,CCCOC(=O)c1ccccc1O,3.8
8118,C=CC(=O)OCC,1.32
8121,CCCCCC(=O)O,1.92
8220,COC(=O)c1ccc(Cl)cc1,2.87
8247,OCCNc1ccccc1,0.82
8255,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,4.75
8258,C=COC(C)=O,0.73
8259,C=COCC,1.04
8260,CCCC(C)C(=O)O,1.8
8262,NC(=O)CCl,-0.53
8264,N#CCCCCl,0.56
8266,CCCC#N,0.53
8273,CCCCCl,2.64
8278,CCCC(N)=O,-0.21
8285,CCC(C)CO,1.29
8287,Clc1ccccc1,2.84
8297,O=C(O)c1cccc(Cl)c1,2.68
8298,O=C(O)c1ccc(Cl)cc1,2.65
8305,CCCC(=O)OCC(O)CO,-0.17
8308,O=C(O)COc1ccccc1Cl,1.86
8309,CC(=O)Nc1ccccc1Cl,1.28
8311,C=CCCCCCC,4.57
8313,CCCCOCCCC,3.21
8317,CCCC(=O)c1ccccc1,2.77
8319,CCCCc1ccccc1,4.38
8320,CCC(C)c1ccccc1,4.57
8328,CCCCOC(=O)c1ccccc1,3.84
8329,CCCCOC(=O)c1ccc(O)cc1,3.57
8338,CCCCOP(=O)(OCCCC)OCCCC,4.0
8339,O=C(Nc1ccccc1)Nc1ccccc1,3.0
8354,COc1ccc(C=O)cc1OC,1.22
8358,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,4.1
8362,CCOC(=O)c1ccc(O)cc1,2.47
8364,O=C(O)c1cc(O)ccc1O,1.74
8366,COc1cc(OC)cc(C(=O)O)c1,2.19
8462,O=C1C=C(O)C(=O)c2ccccc21,1.38
8463,O=S(=O)(O)c1cccc2cccc(O)c12,-0.17
8473,CCNc1cccc2ccccc12,3.45
8477,O=C1c2ccccc2C(=O)c2c(O)cccc21,3.52
8482,O=C1/C(=C2/Nc3ccccc3C2=O)Nc2ccccc21,3.72
8487,CNC,-0.38
8489,CC1(C)NC(=O)NC1=O,-0.48
8490,CCC(=O)CC,0.99
8491,CCC(O)CC,1.21
8494,CCOC(=O)CC(C)=O,0.25
8532,CCCC(O)CCC,2.22
8536,COc1cccc(OC)c1,2.21
8538,C=C(C)CC(C)(C)C,4.55
8542,CCOc1ccc(C(=O)O)cc1,2.39
8544,Oc1cc2ccccc2cc1O,2.24
8550,CN(C)c1cccc2ccccc12,3.46
8551,CCCCCCCCCCCC,6.1
8552,NC(=O)N(c1ccccc1)c1ccccc1,1.53
8557,CCOC(=O)C(Cc1ccccc1)C(=O)OCC,2.76
8559,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.47
8564,CNC(=S)NC,-0.24
8565,C1COCCO1,-0.27
8566,Cc1cc(C)[nH]n1,1.01
8569,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.55
8572,Cc1cc(=O)cc(C)o1,0.1
8573,CCNc1ccccc1,2.16
8579,O=C(O)C(c1ccccc1)c1ccccc1,3.09
8580,O=[N+]([O-])C(Cl)(Cl)Cl,2.09
8583,NC(CS)C(=O)O,-2.49
8587,CC(=O)C(C)=O,-1.34
8591,Clc1cccc(Cl)c1,3.53
8593,Nc1ccc(Cl)cc1Cl,2.78
8601,Cc1ccc(Cl)cc1Cl,4.24
8603,Cc1ccccc1Cl,3.42
