,smiles,Energy
0,CN(C)C(=O)c1ccc(cc1)OC,-11.01
1,CS(=O)(=O)Cl,-4.87
2,CC(C)C=C,1.83
3,CCc1cnccn1,-5.45
4,CCCCCCCO,-4.21
5,Cc1cc(cc(c1)O)C,-6.27
6,CC(C)C(C)C,2.34
7,CCCC(C)(C)O,-3.92
8,C[C@@H]1CCCC[C@@H]1C,1.58
9,CC[C@H](C)O,-4.62
10,C(Br)Br,-1.96
11,CC[C@H](C(C)C)O,-3.88
12,CCc1ccccn1,-4.33
13,CCCCC(=O)OCC,-2.49
14,c1ccc(cc1)S,-2.55
15,CC(=CCC/C(=C\CO)/C)C,-4.78
16,c1ccc2c(c1)CCC2,-1.46
17,CCOc1ccccc1,-2.22
18,c1cc(ccc1O)Br,-5.85
19,CCCC(C)(C)C,2.88
20,CC(=O)OCCOC(=O)C,-6.34
21,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
22,C1CCCC(CC1)O,-5.48
23,COC(=O)C1CC1,-4.1
24,c1ccc(cc1)C#N,-4.1
25,CCCCC#N,-3.52
26,CC(C)(C)O,-4.47
27,CC(C)C(=O)C(C)C,-2.74
28,CCC=O,-3.43
29,CN(C)C=O,-7.81
30,Cc1ccc(cc1)C,-0.8
31,C=CCC=C,0.93
32,Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78
33,CN(C)C(=O)c1ccccc1,-9.29
34,CCNCC,-4.07
35,CC(C)(C)c1ccc(cc1)O,-5.91
36,CC(C)CCOC=O,-2.13
37,CCCCCCCCCCO,-3.64
38,CCC(=O)OCC,-2.68
39,CCCCCCCCC,3.13
40,CC(=O)NC,-10.0
41,CCCCCCCC=C,2.06
42,c1ccc2cc(ccc2c1)O,-8.11
43,c1cc(c(cc1Cl)Cl)Cl,-1.12
44,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
45,CCCC(=O)OC,-2.83
46,c1ccc(c(c1)C=O)O,-4.68
47,C1CNC1,-5.56
48,CCCNCCC,-3.65
49,c1ccc(cc1)N,-5.49
50,C(F)(F)(F)F,3.12
51,CC[C@@H](C)CO,-4.42
52,c1ccc(c(c1)O)I,-6.2
53,COc1cccc(c1O)OC,-6.96
54,CCC#C,-0.16
55,c1ccc(cc1)C(F)(F)F,-0.25
56,NN,-9.3
57,Cc1ccccn1,-4.63
58,CCNc1nc(nc(n1)Cl)NCC,-10.22
59,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56
60,CCCCCCCCN,-3.65
61,N,-4.29
62,c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07
63,COC(=O)c1ccc(cc1)O,-9.51
64,CCCCCc1ccccc1,-0.23
65,CC(F)F,-0.11
66,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43
67,C=CC=C,0.56
68,CN(C)C,-3.2
69,CCCCCC(=O)N,-9.31
70,CC(C)CO[N+](=O)[O-],-1.88
71,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21
72,C(CO[N+](=O)[O-])O,-8.18
73,CCCCCCC(=O)C,-2.88
74,CN1CCNCC1,-7.77
75,CCN,-4.5
76,C1C=CC=CC=C1,-0.99
77,c1ccc2c(c1)Cc3ccccc3C2,-3.78
78,CC(Cl)Cl,-0.84
79,COc1cccc(c1)O,-7.66
80,c1cc2cccc3c2c(c1)CC3,-3.15
81,CCCCCCCCBr,0.52
82,c1ccc(cc1)CO,-6.62
83,c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
84,CCCC,2.1
85,CCl,-0.55
86,CC(C)CBr,-0.03
87,CC(C)SC(C)C,-1.21
88,CCCCCCC,2.67
89,c1cnc[nH]1,-9.63
90,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84
91,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73
92,C(I)I,-2.49
93,CCCN(CCC)C(=O)SCCC,-4.13
94,C[N+](=O)[O-],-4.02
95,CCOC,-2.1
96,COC(CCl)(OC)OC,-4.59
97,CC(C)C,2.3
98,CC(C)CC(=O)O,-6.09
99,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07
100,CCCCl,-0.33
101,CCCSCCC,-1.28
102,CCC[C@H](CC)O,-4.06
103,CC#N,-3.88
104,CN(CC(F)(F)F)c1ccccc1,-1.92
105,[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1
106,C=CCCC=C,1.01
107,Cc1cccc(c1)C,-0.83
108,CC(=O)OC,-3.13
109,COC(c1ccccc1)(OC)OC,-4.04
110,CCOC(=O)c1ccccc1,-3.64
111,CCCS,-1.1
112,CCCCCC(=O)C,-3.04
113,CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61
114,c1ccc(cc1)CBr,-2.38
115,CCCCCC(=O)OCC,-2.23
116,CCCOC,-1.66
117,CN1CCOCC1,-6.32
118,c1cc(cc(c1)O)C#N,-9.65
119,c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38
120,CCCc1ccccc1,-0.53
121,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64
122,CNC,-4.29
123,C(=C(F)F)(C(F)(F)F)F,2.93
124,c1cc(ccc1O)Cl,-7.03
125,C1CCNCC1,-5.11
126,c1ccc2c(c1)ccc3c2cccc3,-3.88
127,CI,-0.89
128,COc1c(cc(c(c1O)OC)Cl)Cl,-6.44
129,C(=C/Cl)\Cl,-0.78
130,CCCCC,2.3
131,CCCC#N,-3.64
132,[C@@H](C(F)(F)F)(F)Br,0.5
133,CC(C)Cc1cnccn1,-5.04
134,CC[C@H](C)O[N+](=O)[O-],-1.82
135,c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46
136,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48
137,CC[C@@H](C)C(C)C,2.52
138,C[C@H](CC(C)C)O,-3.73
139,C1CCOCC1,-3.12
140,C1CC1,0.75
141,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17
142,C=C(Cl)Cl,0.25
143,CC(C)CO,-4.5
144,CCCOC(=O)CC,-2.44
145,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64
146,CSc1ccccc1,-2.73
147,CCc1ccccc1O,-5.66
148,CC(C)(C)Cl,1.09
149,CC(=C)C=C,0.68
150,Cc1ccc(cc1)C(C)C,-0.68
151,Cn1ccnc1,-8.41
152,C(CO)O,-9.3
153,c1ccc(c(c1)Cl)Cl,-1.36
154,c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83
155,CCCOC=O,-2.48
156,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1
157,CCCCCC(=O)O,-6.21
158,CCOC(=O)CCC(=O)OCC,-5.71
159,Cc1ccnc(c1)C,-4.86
160,C1CCC=CC1,0.14
161,CN1CCN(CC1)C,-7.58
162,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
163,C1=CC(=O)C=CC1=O,-6.5
164,COC(=O)CCl,-4.0
165,CCCC=O,-3.18
166,CCc1ccccc1,-0.79
167,C(=C(Cl)Cl)Cl,-0.44
168,CCN(CC)CC,-3.22
169,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15
170,Cc1ccncc1C,-5.22
171,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
172,c1ccc(cc1)C=O,-4.02
173,c1ccnc(c1)Cl,-4.39
174,C=CCCl,-0.57
175,Cc1ccc(cc1)C(=O)C,-4.7
176,C=O,-2.75
177,Cc1ccccc1Cl,-1.14
178,CC(=O)N1CCCC1,-9.8
179,CC(OC)(OC)OC,-4.42
180,CCCCc1ccccc1,-0.4
181,CN(C)c1ccccc1,-3.45
182,CC(C)OC,-2.01
183,c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
184,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98
185,C(C(Cl)Cl)Cl,-1.99
186,CNc1ccccc1,-4.69
187,CC(C)OC(=O)C,-2.64
188,c1ccccc1,-0.9
189,c1cc(c(c(c1)Cl)Cl)Cl,-1.24
190,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5
191,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03
192,c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05
193,CC(=C)C(=C)C,0.4
194,CCCCC=C,1.58
195,S,-0.7
196,CCOCC,-1.59
197,CCNc1nc(nc(n1)SC)NC(C)C,-7.65
198,CCCCOC(=O)c1ccc(cc1)O,-8.72
199,CCCCCCOC(=O)C,-2.26
200,C1CCC(=O)C1,-4.7
201,CCCCC(=O)O,-6.16
202,CCBr,-0.74
203,Cc1ccc2cc(ccc2c1)C,-2.63
204,CCCCCCO,-4.4
205,c1ccc(cc1)c2ccccc2Cl,-2.69
206,CC1=CCCCC1,0.67
207,CCCCCCO[N+](=O)[O-],-1.66
208,C(Br)(Br)Br,-2.13
209,CCc1ccc(cc1)O,-6.13
210,CCCOCCO,-6.4
211,c1ccc(cc1)OC=O,-3.82
212,c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72
213,CCCC(=O)O,-6.35
214,COC(C(F)(F)F)(OC)OC,-0.8
215,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52
216,C(F)(F)(F)Br,1.79
217,CCCCO,-4.72
218,c1ccc(cc1)F,-0.8
219,CCOC(=O)C,-2.94
220,CC(C)COC(=O)C(C)C,-1.69
221,CC(C)(C)OC,-2.21
222,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55
223,CCC(=O)CC,-3.41
224,COC(=O)C(F)(F)F,-1.1
225,c1ccc2ccccc2c1,-2.4
226,c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
227,CC(=O)Oc1ccccc1C(=O)O,-9.94
228,CC(=O)C(C)(C)C,-3.11
229,COS(=O)(=O)C,-4.87
230,CCc1ccncc1,-4.73
231,CC(C)NC(C)C,-3.22
232,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67
233,CCCCCCCN,-3.79
234,CC1CCCC1,1.59
235,CCC,2.0
236,C[C@H]1CCCO1,-3.3
237,CNC(=O)Oc1cccc2c1cccc2,-9.45
238,c1cc(cc(c1)O)C=O,-9.52
239,c1ccc2cc3ccccc3cc2c1,-3.95
240,C(Cl)Cl,-1.31
241,CC(C)(C)C(=O)OC,-2.4
242,C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
243,C1CC[S+2](C1)([O-])[O-],-8.61
244,Cc1cccc(c1O)C,-5.26
245,Cc1cccc(c1)O,-5.49
246,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53
247,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85
248,CCCCCCCC(=O)C,-2.49
249,CCCCN,-4.24
250,CCCC(=O)OCC,-2.49
251,Cc1ccc(cc1)N,-5.57
252,CCCCCCI,0.08
253,C(C(F)(Cl)Cl)(F)(F)Cl,1.77
254,COP(=O)(OC)OC,-8.7
255,c1cc(cc(c1)Cl)Cl,-0.98
256,Cc1cc(c2ccccc2c1)C,-2.47
257,CCCC(C)C,2.51
258,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04
259,C(C(F)(F)F)Cl,0.06
260,C=C,1.28
261,CCCCCI,-0.14
262,COC(OC)OC,-4.42
263,CCCCCCCCCC,3.16
264,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
265,CC=C,1.32
266,Cc1c[nH]c2c1cccc2,-5.88
267,COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
268,C1CCCCC1,1.23
269,CC(=CCC/C(=C/CO)/C)C,-4.45
270,CC(C)c1ccccc1,-0.3
271,CC(C)C(C)C(C)C,2.56
272,CC(C)C(=O)C,-3.24
273,CCCCNCCCC,-3.24
274,CCCCS,-0.99
275,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81
276,COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68
277,C1CCC(CC1)N,-4.59
278,C(F)(F)Cl,-0.5
279,COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88
280,CC(=O)c1cccnc1,-8.26
281,CC#C,-0.48
282,CCCCCCCCC=O,-2.07
283,CCC(=O)O,-6.46
284,C(Cl)(Cl)Cl,-1.08
285,Cc1cccc(c1C)C,-1.21
286,C,2.0
287,c1ccc(cc1)CCl,-1.93
288,CC1CCCCC1,1.7
289,Cc1cccs1,-1.38
290,c1ccncc1,-4.69
291,CCCCCl,-0.16
292,C[C@H]1CC[C@@H](O1)C,-2.92
293,Cc1ccc(c(c1)OC)O,-5.8
294,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44
295,Cc1ccccc1,-0.9
296,CC(C)COC=O,-2.22
297,CCOC(=O)c1ccc(cc1)O,-9.2
298,CCOCCOCC,-3.54
299,CCCCCOC(=O)CC,-2.11
300,CCCc1ccc(cc1)O,-5.21
301,CC=C(C)C,1.31
302,C(CCl)Cl,-1.79
303,CCC(C)(C)CC,2.56
304,Cc1cc2ccccc2cc1C,-2.78
305,Cc1cccc(n1)C,-4.59
306,COC(C(Cl)Cl)(F)F,-1.12
307,CCOCCOC(=O)C,-5.31
308,COc1cccc(c1)N,-7.29
309,c1cc(cnc1)C=O,-7.1
310,CCC(C)(C)O,-4.43
311,CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21
312,Cn1cccc1,-2.89
313,COCOC,-2.93
314,CCC(CC)O,-4.35
315,CCCCCCCCCC(=O)C,-2.15
316,C(CBr)Cl,-1.95
317,c1ccc(cc1)I,-1.74
318,CC1=CC(=O)CC(C1)(C)C,-5.18
319,CCI,-0.74
320,CCCc1ccc(c(c1)OC)O,-5.26
321,CC(C)Br,-0.48
322,Cc1ccc(cc1)Br,-1.39
323,c1cc(ccc1C#N)O,-10.17
324,CS(=O)(=O)C,-10.08
325,CCc1cccc(c1)O,-6.25
326,CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
327,c1cc(ccc1Br)Br,-2.3
328,COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86
329,CC/C=C\C,1.31
330,CC,1.83
331,COc1ccccc1OC,-5.33
332,CCSCC,-1.46
