smiles,logP,pH
CCC(OC(=O)CNC(=O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1)C(=O)c1ccccc1,4.15,2.0
CC(=O)C1=C(C)N=C(SCC(=O)Nc2ccccc2)C(C#N)[C@H]1c1ccccc1Cl,4.97,10.5
O=C1c2ccc(-c3ccc4c(c3)C(=O)N(CCO)C4=O)cc2C(=O)N1CCO,3.19,5.0
COc1ccc(NC(=O)c2cc(NC(=O)c3ccccc3)cc(C(=O)Nc3ccc(OC)cc3)c2)cc1,5.59,5.0
COc1ccc([C@@H]2c3c(c(O)n(-c4sc5c(c4C#N)CCCC5)c3O)ON2c2ccccc2C)cc1,5.83,5.0
CCOC(=O)c1c(N=Cc2c(O)n(C)c(=O)n(C)c2=O)sc2c1CC[C@@H](CC)C2,5.76,5.0
CCOc1cc([C@H]2[C@@H]3CN(C(=O)OC(C)(C)C)CC=C3C(C#N)C(=N)C2(C#N)C#N)ccc1OC(C)C,5.83,5.0
Cc1ccc(S(=O)(=O)/N=C2\SC(=CN(C)C)C(=O)N2C2CCCCC2)cc1,4.75,6.5
CCOc1ccc(C[C@H]2c3cc(OCC)c(OCC)cc3CCN2C(=O)c2scnc2C)cc1OCC,4.98,5.0
CC1(C)OC[C@H](COc2c(F)c(N3CCOCC3)nc(F)c2Cl)O1,4.07,5.0
COc1cccc(-c2[nH]nc3c2[C@@H](c2cc(OC)c(OC)cc2Br)C(C#N)C(=N)O3)c1,4.52,10.5
CC=NC(=O)C(Cc1cn(-c2ccccc2)nc1-c1cccs1)NC(=O)c1ccccc1,4.64,5.0
COC(=O)c1ccc(N(C(=O)C(F)(F)F)[C@@H]2C=CS(=O)(=O)C2)cc1,2.05,5.0
CNc1nc2c(C)cccn2c(=O)c1C=O,2.68,7.3
CC(=O)N=c1[nH]c2cc3sc(=NC(C)=O)[nH]c3cc2s1,3.13,6.5
COc1ccc(C2CC(=O)C3C(=Nc4ccccc4N(C(=O)C(F)(F)F)C3c3cc(OC)c(OC)c(OC)c3)C2)cc1,4.87,7.3
CCOC(=O)c1[nH]c2ccc(CO)c(Cl)c2c1C,3.92,5.0
N#Cc1nc2c(S(=O)(=O)c3ccccc3)c(N)n(Cc3ccc(F)cc3)c2nc1C#N,4.86,5.0
CCOCCOC(=O)C(C)n1cnc2sc3c(c2c1=O)CC[C@H](C)C3,4.25,10.0
Cc1nnc2c(=O)n(CCN=c3[nH]cc(C(F)(F)F)cc3Cl)c3ccc(Cl)cc3n12,4.57,10.5
Cc1ccc(C)n1-c1ccc(-c2ccnc3ncnn23)cc1,3.5,10.0
COc1ccc(C(=O)CC=Nc2ccc(Cl)c(C(F)(F)F)c2)cc1OC,5.31,5.0
COC(=O)C=CCN1C(=O)c2ccccc2C1=O,2.46,5.0
C[C@@H](NC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1)c1ccccc1,3.48,5.0
C[C@@]1(c2ccc(Cl)cc2)NC(=S)N2[C@@H]1NC(=S)N2c1ccc(Cl)cc1,4.94,5.0
CN(C)C(CC=Nc1cc(Cl)cc(Cl)c1)=C(C#N)C#N,1.59,6.5
O=c1c(NC(O)c2ccc(Cl)cc2)cc2c(O)cccc2n1CCN=c1[nH]cc(C(F)(F)F)cc1Cl,5.83,7.3
N#C[C@@H](Cc1cccs1)c1ncc(C(F)(F)F)cc1Cl,4.09,5.0
CC(Oc1ccc(F)cc1F)C(=O)c1cn(-c2ccc(OC(F)(F)F)cc2)nn1,5.83,5.0
CCOC(O)=c1[nH]c(=C2C(=O)c3ccccc3C2=O)c2c(O)n(N(C)c3ncc(C(F)(F)F)cc3Cl)c(O)c12,4.38,10.0
Cc1c(OCc2c(F)cccc2Cl)c(=O)ccn1Cc1ccc(Cl)cc1,5.63,10.5
CC1(C)C=C2OC(=N)C(C#N)[C@@H](c3ccc(C(F)(F)F)cc3)C2C(=O)C1,4.55,5.0
CCOc1ccc(CC(=O)C2=C(N3CCCC3)CCCC2=O)cc1OCC,3.3,6.5
COC(=O)c1c(C)sc2c1OC(=N)C(C#N)[C@@H]2c1cc(Br)cs1,5.06,10.5
COC(=O)c1cc(OC)c(OC)cc1NC(=O)COc1nonc1N1CCOCC1,4.49,6.5
CN(C)c1nc(=N)nc(COC(=O)c2ccc(-n3cnnc3)cc2)[nH]1,2.74,10.5
COc1ccc([C@@H]2CC(=O)N(c3sc4c(c3C#N)CCCC4)C3=C2C(=O)CCC3)c(OC)c1,4.55,5.0
COc1cccc(OCCn2c(=O)c3cc4c(=O)n(CCOc5cccc(OC)c5)c(=O)c4cc3c2=O)c1,5.43,5.0
CC(C)(C)C(=O)C1[C@H](c2ccsc2)C(C#N)(C#N)[C@H]2C=Cc3ccccc3N12,3.37,10.0
CC1=C(C(=O)OCCc2ccccc2)[C@@H](c2ccc3c(c2)OCO3)C2C(=O)C[C@@H](c3cccs3)CC2=N1,5.44,10.0
COc1ccccc1[C@@H]1C=C2N=C(C)C(C(=O)OC3CCCC3)[C@@H](c3ccc(OC(C)=O)cc3)C2C(=O)C1,5.81,10.0
CCOc1cc(C#N)c(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)c(Cl)cc2Cl)cc1OCC,4.31,5.0
N#CC1C(=N)Oc2c(oc(CO)cc2=O)C1c1ccccc1OCc1ccccc1Cl,4.34,6.5
COC(=O)CSc1nc(=NCC(C)C)nc(N2CCOCC2)[nH]1,3.75,8.0
COc1ccccc1NC(=S)N[C@H](NC(=O)c1ccccc1C)C(Cl)(Cl)Cl,3.95,2.0
C[C@H]1CN(C(=O)c2cc(-c3ccc4c(c3)OCO4)nc3ccccc23)C[C@H](C)O1,4.19,10.0
Cc1ccc(-n2c(C)cc(=O)cc2C)cc1C,2.95,10.5
CCc1cccc(C)c1N(C(=O)Cn1c(C(C)O)nc2ccccc21)[C@@H](C)COC,4.48,8.0
COc1cc(C2c3c(cc(C)[nH]c3=O)OC(=N)C2C#N)cc(OC)c1OC,2.55,10.5
O=C(c1ccccc1)N1CCCCC(Sc2nnc3ccccn23)C1=O,3.14,10.5
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)OCCn2c(O)c3c(c2O)C2c4ccccc4C3c3ccccc32)cc1,4.17,5.0
COc1c(Cl)ccc(Cl)c1C(=O)Nc1ccc(C)cc1C,4.0,5.0
CCOC(=O)c1[nH]c(=N)sc1C,1.74,8.0
O=C(Oc1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1)c1ccccc1,5.7,10.0
CC(C)CCn1c(=NCCO)[nH]c2c1c(=O)n(C)c(=O)n2C,2.93,7.3
CCOC(=O)c1c(N)n2c(=O)/c(=C/c3ccc(C(=O)OC)cc3)sc2c(C(=O)OC)c1=c1ccc(=C(O)OC)cc1,6.95,7.3
O=C1C(=O)N(OCc2ccc(Br)cc2)[C@H]2CCCC[C@@H]2N1OCc1ccc(Br)cc1,5.49,7.3
COCCn1c(C)cc(C(=O)CSc2ncnc3sc(C)c(C)c23)c1C,4.59,6.5
COC(=O)c1ccc(C(=O)OC)c(NC(=O)CSc2ncnc3sc4c(c23)CC[C@@H](C)C4)c1,5.79,6.5
Cc1ccc(NC(=O)C2CCCN2C(=O)OC(C)(C)C)cc1C,3.9,5.0
COC(=O)C(NC(=O)CON=C1C=C2CC[C@H]3[C@H](CC[C@]4(C)[C@H]3CC[C@@]4(O)C(C)=O)[C@]2(C)CC1)c1ccccc1,6.27,7.3
CCCC[C@@]1(c2ccccc2)NC(=S)N(c2ccc(C)cc2)N1,5.1,10.0
N=c1[nH]c(SCC(=O)N(CCO)CCO)nc2sc3c(c12)CCCC3,3.2,10.5
CCOP(=O)(Cc1ccc(CP(=O)(OCC)OCC)o1)OCC,3.25,7.3
COc1ccc(/N=C/c2ccc(/C=N/c3ccc(OC)cc3)cc2)cc1,5.24,10.0
CCCc1[nH]nc2c1[C@@]1(C(=O)N(CC(N)=O)c3ccccc31)C(C(=O)OC)C(=N)O2,4.48,8.0
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,4.34,7.3
O=S(=O)(Oc1ccccc1[C@@H]1c2c(c(O)n(-c3ccc(Cl)cc3)c2O)ON1c1ccccc1)c1ccccc1,6.47,7.3
CCCC(=O)OCC(=O)Nc1ccc(F)cc1Cl,3.02,5.0
O=C(CN1C(=O)/C(=C2\SC(=S)N(Cc3ccco3)C2=O)c2ccccc21)Nc1ccc(F)cc1,6.36,6.5
Cc1ccccc1-c1noc(CCl)n1,3.3,5.0
Oc1c(CSCc2ccccc2)[nH]c(=S)n1C1CCCCC1,4.58,2.0
CCOC(=O)N1CCN(C(=O)c2ccc(-n3c(O)c4c(c3O)CCCC4)cc2)CC1,3.74,5.0
CC(C)CCn1c(=NCCO)[nH]c2c1c(=O)n(C)c(=O)n2C,5.36,5.0
COc1ccc(OC)c(NC(=O)c2ccc(N=C3C(=O)N(C4CCCCC4)C(=O)C3Cl)cc2)c1,5.96,5.0
CN1C(=CC=CC(=O)C(F)(F)F)C(C)(C)c2ccccc21,4.41,6.5
C[C@H]1CCc2[nH]c(=NC(=O)c3ccc(F)c(F)c3)sc2C1,4.79,6.5
COc1ccc(N2C(=S)N=C(N[C@@H]([C@@H](Oc3ccc(Cl)cc3)n3cncn3)C(C)(C)C)C2(C)C)cc1,5.56,6.5
CCCCCCSC1=C(C#N)C(c2cccs2)C(C(=O)Nc2ccccc2OC)C(C)=N1,6.28,5.0
ClC1=C(Cl)[C@]2(Cl)[C@@H]3C=CC[C@@H]3[C@@]1(Cl)C2(Cl)Cl,5.69,5.0
COc1ccc2c(C=Nc3c(C)n(C)n(-c4ccccc4)c3=O)c(=O)n(Cc3ccco3)c(O)c2c1,4.66,10.0
CCOC(=O)Cc1nc2nonc2[nH]c1=O,1.61,10.0
O=C(/C=C/c1ccc2c(c1)OCO2)NCCCCNC(=O)/C=C/c1ccc2c(c1)OCO2,4.59,5.0
COC(=O)c1ccc(OC(=O)c2cc(OC)cc(OC)c2)cc1,4.64,5.0
COc1ccc([C@@H]2C3=C(CCCC3=O)N(c3ccccc3C(F)(F)F)C(=N)C2C#N)cc1CSc1ccccn1,5.45,10.5
CC(C)C(=O)N[C@H](Oc1ccc(C=O)cc1)C(Cl)(Cl)Cl,3.68,5.0
CC(C)C(C(=O)N=c1[nH]c(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)cs1)N1C(=O)c2ccccc2C1=O,5.32,7.3
CC(C)OC(=O)C1=C(CSc2nc3c(cc2C#N)CCCCC3)OC(=N)C(C#N)[C@@H]1c1ccncc1,5.43,10.0
Cc1ccccc1OCC(=O)NCCNC(=O)COc1ccccc1C,4.25,6.5
CC(=O)n1cc(O)n(CC(=O)N(Cc2ccccc2)c2nc(-c3ccccc3)cs2)c1=S,4.43,6.5
COc1cc([C@@H]2C3=C(CCCC3=O)N(c3ccccc3C(F)(F)F)C(=N)C2C(=O)c2ccccc2)cc(OC)c1OC,4.51,5.0
C=CCOc1cccc([C@@H]2c3c(oc4ccccc4c3=O)C(=O)N2c2nnc(C)s2)c1,4.52,6.5
C#CCOc1c(I)cc(C=C2C(=O)N(C)C(=S)N(C)C2=O)cc1OCC,3.72,5.0
COc1nc(=Nc2ccccc2)nc(Cl)[nH]1,2.89,5.0
O=C1c2ccc(Oc3cccc(Oc4ccc5c(c4)C(=O)N(CCO)C5=O)c3)cc2C(=O)N1CCO,4.61,5.0
COc1cccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2cccc(C)c2)c1,4.16,5.0
CCc1ccc(-c2csc(C(C#N)C=Nc3ccc4c(c3)OCO4)n2)cc1,6.59,5.0
CCN(C(=O)Cn1c(O)c2c(c1O)CCCC2)c1nnc(-c2ccc(Cl)cc2)s1,4.91,6.5
COc1ccc([C@@H](C)n2c(C)c3c(C)nnc(C)c3c2C)cc1,3.43,8.0
C[C@@H]1CCCN(c2nc3c(c(=O)n(C)c(=O)n3C)n2CCSc2nc3ccccc3s2)C1,5.05,6.5
N#Cc1c(SCC(=O)OCc2ccccc2)nsc1SCC(=O)OCc1ccccc1,5.6,5.0
O=C(CCCCCN1C(=O)/C(=C\c2cccs2)SC1=S)N1CCOCC1,4.92,6.5
C=CCOC(=O)COc1ccc2c(=O)c(-c3ccc(Cl)cc3)c(C)oc2c1,4.84,5.0
CCc1cc2c3c(c1)[C@@]1(C(=O)N3C(C)(C)C=C2C)C2=C(CC(C)(C)CC2=O)OC(=N)C1C#N,5.39,10.5
CCCSc1nc2c(c(=O)n1-c1ccc(Br)cc1)SCC2,4.61,10.0
CCCCCC(=O)NC1(CCC)CCCC1,4.28,5.0
CCOC(=O)C1=C(C)OC(=N)C(C#N)[C@H]1c1cccc(I)c1,4.48,5.0
CCCCN1C(=O)N(C)[C@@H]2[C@H]1N(C)C(=O)N2CCCC,2.69,5.0
CC(=O)c1sc(SCCOc2ccccc2)nc1C,3.86,2.0
O=C1c2ccccc2C(=O)C12O[C@@H](c1ccccc1)c1c2c(O)n(-c2ccccc2)c1O,4.0,5.0
CCc1ccc([C@@H]2C(C(=O)OC(C)C)=C(C)N=C3SCCC(=O)N32)cc1,4.75,10.0
Cc1cc2c(c(=O)o1)[C@@H](c1cccc(F)c1F)C(C#N)C(=N)O2,3.1,10.5
NN=c1c(F)c(F)[nH]c(F)c1F,0.86,7.0
O=C(/C=C/c1ccccc1)Nc1ccc(N2CCN(C(=O)c3cccs3)CC2)cc1,4.94,7.0
CCOC(=O)C1C(C)=NC(=S)N[C@@H]1c1ccc(OCc2ccc(Cl)cc2)c(OCC)c1,5.31,5.0
COc1ccc(C(=O)OCC(=O)c2cc(C)n(C[C@@H]3CCCO3)c2C)c(OC)c1,4.18,5.0
Cc1c(C(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)sc2nc3n(c(=O)c12)CCCCC3,4.13,10.5
C=C(C)CSc1nnc(-c2cccc(S(=O)(=O)N3CCOCC3)c2)n1C1CCCC1,4.73,10.5
O=C(CSc1nnc(-c2cccs2)o1)NCCn1c(O)csc1=O,2.31,5.0
Cn1c(C(C#N)C(=O)C(Sc2ccccc2)c2ccccc2)nc2ccccc21,5.28,7.0
O=C(Nc1ccc(OC(F)F)cc1)c1ccc(COc2ccc(I)cc2)o1,5.99,5.0
Cc1ccc(Cn2c(O)c(C=C3CC=CCC3)sc2=S)cc1,6.26,6.5
O=C(NCCc1ccccc1)c1ccc(Cl)cc1,3.71,5.0
O=C(c1cccc(S(=O)(=O)N2CCOCC2)c1)N1CCN(c2cccc(Cl)c2)CC1,4.34,7.3
CC(=O)c1ccc(NC(=O)CNC(=O)CNC(=O)C2O[C@@H]3OC(C)(C)O[C@@H]3[C@H]3OC(C)(C)O[C@@H]23)cc1,3.39,5.0
Cc1cccc(C)c1NC(=O)Cn1cc(C(=O)C2CC2)c2ccccc21,3.47,2.0
CCOC(=O)c1c(NC(=O)CSc2nnc(C)s2)sc2c1CCCCC2,5.03,7.3
Cc1ccc(N(C[C@H](O)Cn2c3ccccc3c3ccccc32)S(C)(=O)=O)c(C)c1,5.56,6.5
CC1CCC2(CC1)N=C(c1ccccc1)C(=O)N2CC(=O)Nc1ccc2c(c1)OCCO2,5.07,6.5
CC(C)Cn1c(O)c(C=C2CC=CCC2)sc1=S,6.66,5.0
C[C@]12CO[C@]3(C(=O)NCC(F)(F)F)C[C@H]1CC[C@]23C,3.11,5.0
COCCCNC(=O)c1cc(Br)c(C)c(C)c1C,2.93,10.5
C=CCn1/c(=N/C(=O)c2cc(OC)c(OC)c(OC)c2)sc2cccc(OC)c21,5.14,10.5
CC[C@@H]1CCCCN1C(=O)COc1cccc2c1CCN(Cc1ccc(Cl)cc1)C2=O,5.23,6.5
Cc1[nH]n(-c2ccccc2)c(=N)c1-c1ccccc1,3.27,7.3
COc1ccccc1NC(=O)C1C(C)=Nc2nc(SCc3ccccc3F)nn2C1c1ccncc1,4.66,7.3
COc1cc2c(cc1OC)[C@H](COc1ccc3c(C)cc(=O)oc3c1)N(C(=O)C1CCCCC1)CC2,5.07,5.0
O=C(Nc1ccc(N2CCN(C(=O)c3ccco3)CC2)c(Cl)c1)c1c(F)c(F)c(F)c(F)c1F,5.85,6.5
CCCOc1ccc(NC(=O)Cc2c(O)n(-c3ccc(Cl)cc3)c(=S)n2C2CC2)cc1,5.41,5.0
C=CCNC(=O)CSc1nc(C(F)F)cc(-c2cn(C)nc2C)c1C#N,3.74,6.5
Cc1cccc(Cl)c1Cn1ccc(=Nc2nnc(Cc3ccc(-n4cnnn4)cc3)s2)[nH]1,4.99,10.0
Cc1cc(C(F)(F)F)nn1C(C)c1n[nH]c(=Nc2ccn(Cc3ccccc3)n2)s1,5.34,10.0
Cn1ncc(Br)c1C(=O)N1CCCCCC1,2.63,5.0
COC(=O)c1cc(OC)c(OC)cc1NC(=O)CSc1nncn1C,2.78,7.3
COc1cc([C@H]2NC(=O)N=C(C)C2C(=O)OC(C)C)ccc1OC(F)F,3.75,5.0
CC1=NN(C(=O)c2ccccc2Cl)[C@](O)(c2ccc(Cl)cc2)C1,3.73,5.0
COc1ccccc1/C=N/n1c(C)cc(C)c(C#N)c1=O,3.08,5.0
O=C(c1cccc(COCC(F)(F)C(F)F)c1)N1CC[C@@H](C(F)(F)F)n2nccc21,4.27,5.0
O=C(NCC1CCCO1)c1cc2nc(C3CC3)cc(C(F)(F)F)n2n1,3.33,5.0
CCn1cc(CN(C)C(=O)c2cc3cc(Br)ccc3oc2=O)c(C)n1,3.27,5.0
C[C@@H]1CCCCN1C(=O)CCCCC(=O)N1CCCC[C@H]1C,3.42,5.0
CCCn1c2ccccc2c2nnc(SCC(=O)N[C@H](C)c3ccccc3)nc21,4.36,7.3
CCCC1=NC(=O)N[C@@H](c2ccc3c(c2)OCO3)C1C(=O)OCC,3.59,5.0
COc1cc([C@H]2c3c(C)n[nH]c3OC(=N)C2C#N)ccc1OCc1cccc(F)c1,4.42,10.5
Cc1ccc(/C=C/C(=O)NCCNC(=O)/C=C/c2ccc(C)o2)o1,3.97,5.0
COCCCNC(=S)N1[C@H](C)CCC[C@H]1C,2.8,5.0
CCSCCOC(=O)C1=C(C)N=C2C[C@H](c3cccs3)CC(=O)C2[C@H]1c1ccc2c(c1)OCO2,5.0,10.0
FC(F)Oc1ccc(NC(=S)NC[C@@H]2CCCO2)cc1Cl,3.74,5.0
Cc1c(CN(C)C(=O)C(C)n2nc(C(F)F)c(Br)c2C)cnn1C,3.12,5.0
O=C(c1sc2cc(Cl)ccc2c1Cl)N1CCN(C(=S)NC[C@H]2CCCO2)CC1,4.83,5.0
Cc1nn(C)cc1-c1cc(C(F)(F)F)n2nc(C(=O)N3C[C@H](C)O[C@H](C)C3)cc2n1,4.11,10.0
Cc1nn(C)cc1-c1cc(C(F)(F)F)n2ncc(C(=O)N(C3CCCCC3)C3CCCCC3)c2n1,5.81,10.5
CC(C(=O)Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1)n1nc(C(F)(F)F)c(Cl)c1C1CC1,6.63,5.0
Cc1c(Cl)c(C(F)(F)F)nn1C(C)C(=O)N1CCOCC1,3.08,5.0
O=C(Cn1nnc2c(O)n(-c3ccc(Cl)cc3Cl)c(O)c21)Nc1ccccc1,4.3,6.5
CCn1ccc(CN(C)C(=O)c2ccccc2COc2ccc(F)cc2F)n1,4.43,5.0
Nn1c(COc2ccccc2)nnc1SC(F)F,1.85,7.3
C=CCNC(=O)CSc1nnc(CCn2nc(C)c(Br)c2C)n1CC,3.53,10.5
O=C(NC1CC1)c1ccc(COc2c(F)c(F)cc(F)c2F)o1,3.54,5.0
CCOCCOC(=O)C1=C(C)N=C2CCCC(=O)C2[C@@H]1c1ccc(C)cc1,3.89,10.0
CCn1c(SCc2nc3c4cnn(C)c4ncn3n2)nnc1-c1cc(C(F)(F)F)n(C)n1,3.85,7.3
CCOC(=O)N1CCN(C(=O)c2noc3c2C[C@@H](C(C)(C)C)CC3)CC1,4.52,5.0
Cc1cc(C(F)(F)F)n2nc(-c3nnc(-c4cccc(C(F)(F)F)c4)o3)cc2n1,4.92,10.0
CCCOC(=O)c1c(NC(=O)C2CCN(S(C)(=O)=O)CC2)sc(C(N)=O)c1C,3.9,6.5
CC(C)COc1ccc(C(=O)N2N=C(C(F)F)C[C@@]2(O)C(F)F)cc1,5.16,5.0
CC(C)(C)c1cc(C(F)(F)F)nc(SCCNC(=O)C2CCCCC2)n1,5.77,6.5
CCn1cc(-c2nc3c4c(C)c(C)sc4ncn3n2)cn1,3.77,5.0
CCCNC(=O)N1CCN(C(=O)NCCC)CC1,1.04,10.5
O=C(NC(Sc1ncccn1)C(=O)c1ccccc1)c1ccccc1,3.62,5.0
Cc1cc(C)n2c(SCc3ccc(C(=O)c4ccccc4)cc3)nnc2n1,4.43,10.5
CC(=O)N[C@H]1[C@@H](Oc2cccc3ccccc23)O[C@@H]2COC(C)(C)O[C@H]2[C@@H]1O,3.8,6.5
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(C)=O)cc3)c(=O)n2C1c1cccs1,4.77,10.5
CCOC(=O)c1sc(=NCCN=c2[nH]c(C)c(C(=O)OCC)s2)[nH]c1C,4.66,10.5
CN(C(=O)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,3.45,5.0
CCCC[C@H](CC)Cn1c(SCC(=O)Nc2ccc(OC)cc2)nc2c1c(=O)n(C)c(=O)n2C,5.51,5.0
O=C(Cn1cc(C(=O)C(F)(F)F)c2cc(Br)ccc21)N1CCCCCC1,4.62,5.0
O=S(=O)(/C=C/C=C/Sc1ccccc1)c1ccccc1,4.03,2.0
CC(=O)Nc1ccc([C@H]2c3c(-c4cc(C)sc4C)n[nH]c3OC(=N)C2C#N)cc1,4.26,9.0
CC(=O)Nc1ccc([C@@H]2c3c(C)nn(-c4cccc(Cl)c4)c3OC(=N)C2C#N)cc1,4.93,7.0
N#CC1(C#N)[C@H](c2ccc(Br)s2)C(C(=O)c2ccccc2)N2c3ccccc3C=C[C@@H]21,5.05,6.5
CN(CCO)S(=O)(=O)c1ccc2c(c1)oc(=O)c1cc(S(=O)(=O)N(C)CCO)ccc12,3.2,5.0
CCOCc1c(C)cc(C)c([C@H]2c3c(C)n[nH]c3OC(=N)C2C#N)c1C,4.09,10.0
Cc1ccccc1OC1C(=O)N(Cc2ccc3c(c2)OCO3)[C@H]1c1ccc2c(c1)OCO2,4.37,2.0
COc1ccccc1NC(=O)C1=C(C)N=C(SCC(=O)Nc2ccc(C)c(Cl)c2)C(C#N)[C@@H]1c1ccco1,6.27,5.0
O=S(=O)(/N=C\c1ccc(Br)cc1)c1cccs1,2.14,5.0
Cc1ccc(SCC(=O)NCc2cccc(CNC(=O)CSc3ccc(C)cc3)c2)cc1,5.08,5.0
O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1,4.73,5.0
CC(C)OCCCNC(=O)C(=O)NCc1ccc(C(C)C)cc1,4.57,5.0
COc1cc(C(=O)Nc2cccc(C#N)c2)cc(OC)c1OC,3.44,5.0
Cc1ccccc1N[C@@H](c1ccccc1F)P(=O)(OC(C)C)OC(C)C,5.63,5.0
CCn1c(SCC(=O)Nc2ccc(C(=O)OC)cc2)nnc1-c1ccccc1,4.24,7.3
COc1ccc([C@@H]2C3=C(CC(C)(C)CC3=O)N(c3ccc(Cl)cc3)C(=N)C2C#N)cc1OC,4.34,5.0
CCOc1ccc(Br)cc1[C@H]1C2C(=O)CC(C)(C)CC2=Nc2ncnn21,3.85,7.3
CCOC(=O)CSc1nnnn1-c1cccc2ccccc12,3.8,5.0
C#CCN1C(=O)C2CC[C@@](C)(C1=O)C2(C)C,2.28,5.0
c1ccc(-n2nnnc2OCCOc2nnnn2-c2ccccc2)cc1,3.72,5.0
CS(=O)(=O)N(CC(=O)N1CCc2ccccc2C1)c1ccc(OCc2ccccc2)cc1,4.91,5.0
CCCOc1ccc(-n2c(O)cc(N3CCNC3=S)c2O)cc1,2.68,6.5
CS(=O)(=O)N(CC(=O)Nc1c(F)cccc1F)c1cc(Cl)c(Cl)cc1Cl,4.34,6.5
CC(C)N(Cc1nc(-c2ccccc2)no1)C(=O)c1ccccc1CCc1ccccc1,5.98,5.0
O=C(c1ccc(Cl)cc1)N(Cc1ccc(Cl)c(Cl)c1)n1c(O)c2c(c1O)CCCC2,5.51,6.5
CC(C(=O)NC1CCCC1)N(c1ccc(Cl)cc1)S(C)(=O)=O,3.48,5.0
CC(=O)c1ccc(C(C)(C)C)cc1NC(=O)c1ccccc1,5.13,5.0
Cc1ccc([C@@H](O)P(=O)(OCC(C)C)OCC(C)C)cc1,4.44,5.0
CCCCOC(=O)C1=C(C)N=C2CCCC(=O)C2[C@H]1c1ccccc1OC,4.21,7.3
