smiles,logP
O=C1c2ccccc2-c2cccc3cccc1c23,4.81
Oc1ccc(C2CCCCC2)cc1,4.22
OCc1ccc(Cl)cc1,1.96
CCOC(OCC)OCC,1.2
c1ccc2c(c1)CCC2,3.18
Cc1ccccc1OCC(=O)O,1.98
COc1ccc(/C=C/C(=O)O)cc1,2.68
CCOC(=O)C(O)c1ccccc1,1.53
O=C(O)C1c2ccccc2-c2ccccc21,2.8
Cc1ccc(C(O)c2ccccc2)cc1,3.13
NS(=O)(=O)c1ccccc1,0.31
CN(C)Cc1ccccc1,1.98
O=C(O)c1ccccc1C(=O)O,0.73
CCCC(C)=O,0.91
Cc1cc(C)c(O)c(C)c1,2.73
Nc1ccccc1N,0.15
CN(C)C=O,-1.01
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.82
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1.93
CC(C)[N+](=O)[O-],0.93
Nc1ccc([N+](=O)[O-])cc1N,0.88
N#Cc1cccc([N+](=O)[O-])c1,1.17
N#Cc1ccc([N+](=O)[O-])cc1,1.19
Cc1ccc(Cl)cc1[N+](=O)[O-],3.05
Cc1ccc(O)c([N+](=O)[O-])c1,2.37
O=[N+]([O-])c1cccc(CO)c1,1.21
O=[N+]([O-])c1ccc(CO)cc1,1.26
CNc1ccc([N+](=O)[O-])cc1,2.04
N#CCCCCCC#N,0.05
N#CCc1ccc([N+](=O)[O-])cc1,1.37
CC(=O)Oc1ccccc1[N+](=O)[O-],1.55
O=C(O)Cc1ccc([N+](=O)[O-])cc1,1.39
Cc1cccc([N+](=O)[O-])c1C,2.83
O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,3.92
O=[N+]([O-])c1cccc(Cl)c1,2.46
O=Cc1cccc([N+](=O)[O-])c1,1.47
COc1ccccc1[N+](=O)[O-],1.73
COc1ccc([N+](=O)[O-])cc1,2.03
COc1ccc(N)c([N+](=O)[O-])c1,1.94
COc1ccc([N+](=O)[O-])cc1N,1.47
CC(=O)c1cccc([N+](=O)[O-])c1,1.42
NC(=O)c1ccccc1C(N)=O,-1.73
CCCCCCCC#N,2.75
COc1ccc(NC(C)=O)c([N+](=O)[O-])c1,1.09
CN(C)c1ccc(C=O)cc1,1.81
CCCCCCCCCO,3.77
Nc1ccc2ccccc2c1S(=O)(=O)O,-1.16
N#CCC(=O)O,-0.76
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,3.93
S=C=Nc1ccccc1,3.28
COc1ccc(C=O)cc1,1.76
COc1ccc(C(C)=O)cc1,1.74
CC(=O)/C=C/c1ccccc1,2.07
CCOC(=O)C(=O)Nc1ccccc1,1.48
CCCCCO,1.51
CC(C)CO,0.76
NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.47
NNc1ccccc1,1.25
O=C1CCCCC1,0.81
CC(=O)CC(C)C,1.31
O=Cc1ccccc1[N+](=O)[O-],1.74
Oc1ccc(Br)cc1Br,3.22
C1CCc2nnnn2CC1,0.14
CC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.1
Oc1c(Cl)cc(Cl)c2ccccc12,4.23
CCCOC(=O)c1ccc(O)cc1,3.04
CCC1C(=O)OCC1Cc1cncn1C,0.12
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-1.22
NC(=S)Nc1ccccc1,0.71
NCCCCN,-0.7
Cn1c(=O)ccc2ccccc21,1.45
CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,2.88
c1ccc(COCc2ccccc2)cc1,3.31
NNc1ccc(Br)cc1,1.39
NN(c1ccccc1)c1ccccc1,2.8
Nc1cccc2cccc(N)c12,1.78
CNC(C)Cc1ccccc1,2.07
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.97
O=C(Cc1ccccc1)c1ccccc1,3.18
O=Cc1ccc([N+](=O)[O-])cc1,1.56
CC(C)CCC#N,1.54
N#Cc1ccc(Cl)cc1,2.47
CC(=O)c1ccc(Cl)cc1,2.32
CC(=O)Nc1cccc(Cl)c1,2.15
CC(C)=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],3.05
CCCC(=O)Nc1ccccc1,2.05
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.02
Cl/C=C/Cl,2.09
CC(Cl)[N+](=O)[O-],1.1
Nc1ccc(Cl)cc1N,1.28
COc1ccc(C)cc1N,1.74
Clc1ccc2ccccc2n1,2.71
Clc1cccc2ccccc12,3.9
CC12CCC(CC1)C(C)(C)O2,2.5
c1ccc2c(c1)ccc1c3ccccc3ccc21,5.5
BrC(Br)(Br)Br,3.42
N#CCCl,0.45
Nc1ccccc1Cl,1.9
Nc1ccc(Sc2ccc(N)cc2)cc1,2.18
ClCCCCl,2.0
Oc1c(Br)cccc1Br,3.36
O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,1.37
CN(C)c1ccc(/N=N/c2ccccc2)cc1,4.58
O=C1CCCCO1,-0.35
COc1ccccc1C,2.74
COc1ccc(C)cc1,2.66
COc1cccc(C)c1,2.66
CC(=O)Oc1ccccc1C,1.93
OCCSCCO,-0.63
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,2.17
O=[N+]([O-])c1cc(Cl)ccc1Cl,3.09
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,3.12
Oc1cc(Cl)ccc1Cl,3.06
Ic1ccc(I)cc1,4.11
ON=C1CCCCC1,0.84
O=C(O)c1cc(I)cc(I)c1O,4.56
N#Cc1ccc(C(=O)O)cc1,1.56
O=C1CC(=O)c2ccccc21,0.61
O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,2.58
COc1ccc(CCN)cc1OC,0.77
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,5.1
CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,5.53
C=CC#N,0.25
CCC[N+](=O)[O-],0.87
CC(C)C(O)C(C)(C)CO,1.24
CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.72
S=P(N1CC1)(N1CC1)N1CC1,0.53
CCC=O,0.59
Cc1nc2ccccc2[nH]1,1.43
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,6.25
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.36
C=CCO,0.17
Brc1ccccc1,2.99
Cc1ccc(Br)cc1,3.42
CC(C)C(=O)c1ccccc1,2.73
CC(C)(C)c1ccccc1,4.11
Cc1ccc(C(C)(C)C)cc1,5.17
COP(=O)(OC)OC=C(Cl)Cl,1.47
ClCC1CO1,0.45
CCOCOCC,0.84
CCOC(=O)c1cccc([N+](=O)[O-])c1,2.35
CCOC(=O)c1ccc([N+](=O)[O-])cc1,2.33
Cc1cc(C)c(C)cc1C,4.0
CCOC(=O)/C=C/c1ccccc1,2.99
CCOC(=O)CC(=O)c1ccccc1,1.87
O=S(c1ccccc1)c1ccccc1,2.06
O=S(=O)(c1ccccc1)c1ccccc1,2.4
c1ccc(Nc2ccccc2)cc1,3.5
c1ccc2c(c1)Cc1ccccc1-2,4.18
c1ccc(OCCOc2ccccc2)cc1,3.81
c1ccc2c(c1)-c1cccc3cccc-2c13,5.16
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,6.03
CCCCN(CCCC)N=O,2.63
CCOC(=O)c1ccncc1,1.43
Sc1ccccc1,2.52
Oc1ccccc1Br,2.35
C=CCCC(C)=O,1.02
O=C(O)c1ccccc1Br,2.2
COc1ccccc1Br,2.86
N#CN,-0.82
CC(=O)OCCBr,1.11
O=[N+]([O-])c1cccc(Br)c1,2.64
Nc1ccc(Br)cc1,2.26
Nc1ccccc1Br,2.11
CCCCNc1ccccc1,3.58
Nc1ccc(S(=O)(=O)O)cc1,-2.16
CC(=O)NCCc1ccccc1,1.19
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1.49
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.98
CN(C)c1ccccc1,2.31
CC(C)c1ccc(N)cc1,2.49
Oc1ccc2c(O)cccc2c1,1.94
Oc1cccc2c(O)cccc12,1.94
CCN(CC)c1ccccc1,3.31
C=Cc1ccc2c(O)c3ccccc3c(O)c2c1,4.37
BrCBr,1.7
ClCBr,1.41
CCNC,0.15
CCC(C)C(=O)O,1.18
CCCCCC(C)=O,1.98
CCCCCCCBr,4.36
COC(=O)c1ccccc1Cl,2.38
COC(=O)c1ccc(OC)cc1,2.27
N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-1.05
O=C1C(=O)c2ccccc2-c2ccccc21,2.52
C=C(C)C(=O)O,0.93
O=S(=O)(O)c1ccc2ccccc2c1,0.63
COc1ccc(OC)cc1,2.04
CCN(CCO)c1ccccc1,2.1
CCCN,0.48
CC1CCCC(C)N1,1.53
Cc1cc2ccccc2[nH]1,2.53
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,2.48
COC1CC(OC2CCC3(C=O)C4CCC5(C)C(c6coc(O)c6)CCC5(O)C4CCC3(O)C2)OC(C)C1O,0.64
Nc1cccc(S(N)(=O)=O)c1,-0.38
Nc1ccc(C(=O)NCC(=O)O)cc1,-0.89
N=c1c2ccccc2[nH]c2ccccc12,2.74
C1CC2OC2CC1C1CO1,0.44
CC#N,-0.34
CC=O,-0.34
C=CCBr,1.79
C=CCN,0.03
CC(C)=NO,0.12
CC(N)C(=O)O,-2.96
NCCC(=O)O,-3.05
CC(C)O,0.05
CNC(=O)NC(C)=O,-0.7
C=CCOC(C)=O,0.97
N#CCCCCC#N,-0.32
Nc1ccc(S(N)(=O)=O)cc1,-0.62
CC(=O)CCC(C)=O,-0.27
O=C(O)CCCCC(=O)O,0.08
CCOC(C)OCC,0.84
Nc1ccc(C(=O)O)cc1,0.83
Cc1ccc(O)c(N)c1,1.16
COc1cccc(N)c1,0.93
C=CC(OC(C)=O)OC(C)=O,0.78
CC(=O)c1ccccc1,1.58
CC(=O)Nc1ccccc1,1.16
CC(=O)c1cccc(N)c1,0.83
Cc1ccc(C)c(N)c1,1.83
CC(=O)Nc1ccc(C)cc1,1.7
CC(=O)Nc1cc(C)ccc1C,1.47
CCOc1ccccc1NC(C)=O,1.49
CCOc1cccc(NC(C)=O)c1,1.82
CCOc1ccc(NC(C)=O)cc1,1.58
O=C1C(=O)c2cccc3cccc1c23,1.95
c1cc2c3c(cccc3c1)CC2,3.92
Nc1ccc(-c2ccccc2)cc1,2.86
Nc1ccccc1-c1ccccc1,2.84
C=CCOC(=O)c1ccccc1C(=O)OCC=C,3.23
O=C(O)CCC(=O)O,-0.59
CCCC(=O)O,0.79
CCCCC(=O)O,1.39
O=C(O)CC(O)(CC(=O)O)C(=O)O,-1.72
O=c1[nH]c2ccccc2s1,1.76
O=C(O)c1ccc([N+](=O)[O-])cc1,1.89
COc1ccc(C(=O)O)cc1OC,1.61
CC1=CCC2CC1C2(C)C,4.83
CC(=O)OC(OC(C)=O)c1ccccc1,1.62
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,4.12
CC(O)C#N,-0.94
CN(C)C#N,-0.15
NCCCO,-1.12
N#CCCNCCC#N,-1.34
COc1ccc(C(=O)c2ccccc2)c(O)c1,3.79
Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,6.25
C=CC(N)=O,-0.67
Nc1cc([N+](=O)[O-])ccc1C(=O)O,1.91
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,3.0
Cn1cnc2c(=N)[nH]cnc21,-0.03
Cn1cnc2[nH]cnc(=N)c21,-0.03
CCCCCCCCCCC(=O)O,4.42
O=c1cc(O)[nH]c(=O)[nH]1,-1.47
NC(=O)CC(N)C(=O)O,-3.82
CCCCCBr,3.37
CCC(C)(C)Cl,2.52
CCCCCN,1.49
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.14
Nc1ccccc1,0.9
N=C(N)NCCCC(N)C(=O)O,-4.2
O=Cc1ccccc1,1.48
COc1ccccc1,2.11
COc1ccc(N)cc1,0.95
O=C(O)C(O)c1ccccc1,0.62
COc1ccc(C(=O)O)cc1,1.96
NC(C(=O)O)c1ccccc1,-1.7
NCC(O)c1ccc(O)c(O)c1,-1.24
Nc1cccc2cccnc12,1.16
Nc1cnc2ccccc2c1,1.63
Cc1cc(=O)n(-c2ccccc2)n1C,0.38
O=C1c2ccccc2C(=O)c2ccccc21,3.39
c1ccc2cc3ccccc3cc2c1,4.45
CCC#N,0.16
CN(C)P(=O)(N(C)C)N(C)C,0.28
ClC(Cl)Br,2.0
BrC(Br)Br,2.4
CCC(Br)C(=O)O,1.42
CC(C)CN,0.73
CCCCN,0.97
CCC(C)N,0.74
Brc1ccccn1,1.42
CCC(C)OC(C)=O,1.72
CC(=O)OCC(C)C,1.78
FC(F)(F)c1ccccc1,3.01
N#Cc1ccccc1,1.56
BrCc1ccccc1,2.92
COc1ccc(Br)cc1,3.05
ClCc1ccccc1,2.3
OCc1ccccc1,1.1
NCc1ccccc1,1.09
CC(=O)Nc1ccc(Br)cc1,2.29
COCc1ccccc1,1.92
CNCc1ccccc1,1.52
CC(=O)NCc1ccccc1,0.95
CCOCc1ccccc1,2.16
c1ccc(Cc2ccncc2)cc1,2.62
O=C(c1ccccc1)c1ccccc1,3.18
Oc1ccc(Cc2ccccc2)cc1,3.47
O=C(OCc1ccccc1)c1ccc(O)cc1,3.56
O=C(OCc1ccccc1)c1ccccc1,3.97
Cc1cc(C)c(C)c(C)c1,4.1
OCC(O)C(O)CO,-2.29
OCC(CO)(CO)CO,-1.69
OCC(O)c1oc(O)c(O)c1O,-1.64
O=C(O)CC(=O)O,-0.81
Cc1ccccc1OCC(O)CO,1.41
COc1ccccc1/C=C/C(=O)O,2.54
NCCCN,-1.43
O=C1C=CC(=O)N1c1ccccc1,1.09
Nc1ccccc1SSc1ccccc1N,3.05
C#CC1(O)CCCCC1,1.73
COC(=O)c1ccccc1O,2.55
CCOC(=O)c1ccccc1O,2.95
CCCOC(=O)c1ccccc1O,3.8
C=CC(=O)OCC,1.32
CCCCCC(=O)O,1.92
COC(=O)c1ccc(Cl)cc1,2.87
OCCNc1ccccc1,0.82
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,4.75
C=COC(C)=O,0.73
C=COCC,1.04
CCCC(C)C(=O)O,1.8
NC(=O)CCl,-0.53
N#CCCCCl,0.56
CCCC#N,0.53
CCCCCl,2.64
CCCC(N)=O,-0.21
CCC(C)CO,1.29
Clc1ccccc1,2.84
O=C(O)c1cccc(Cl)c1,2.68
O=C(O)c1ccc(Cl)cc1,2.65
CCCC(=O)OCC(O)CO,-0.17
O=C(O)COc1ccccc1Cl,1.86
CC(=O)Nc1ccccc1Cl,1.28
C=CCCCCCC,4.57
CCCCOCCCC,3.21
CCCC(=O)c1ccccc1,2.77
CCCCc1ccccc1,4.38
CCC(C)c1ccccc1,4.57
CCCCOC(=O)c1ccccc1,3.84
CCCCOC(=O)c1ccc(O)cc1,3.57
CCCCOP(=O)(OCCCC)OCCCC,4.0
O=C(Nc1ccccc1)Nc1ccccc1,3.0
COc1ccc(C=O)cc1OC,1.22
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,4.1
CCOC(=O)c1ccc(O)cc1,2.47
O=C(O)c1cc(O)ccc1O,1.74
COc1cc(OC)cc(C(=O)O)c1,2.19
O=C1CC(=O)c2ccccc2C1=O,1.38
O=S(=O)(O)c1cccc2cccc(O)c12,-0.17
CCNc1cccc2ccccc12,3.45
O=C1c2ccccc2C(=O)c2c(O)cccc21,3.52
O=C1C(c2[nH]c3ccccc3c2O)=Nc2ccccc21,3.72
CNC,-0.38
CC1(C)NC(=O)NC1=O,-0.48
CCC(=O)CC,0.99
CCC(O)CC,1.21
CCOC(=O)CC(C)=O,0.25
CCCC(O)CCC,2.22
COc1cccc(OC)c1,2.21
C=C(C)CC(C)(C)C,4.55
CCOc1ccc(C(=O)O)cc1,2.39
Oc1cc2ccccc2cc1O,2.24
CN(C)c1cccc2ccccc12,3.46
CCCCCCCCCCCC,6.1
NC(=O)N(c1ccccc1)c1ccccc1,1.53
CCOC(=O)C(Cc1ccccc1)C(=O)OCC,2.76
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.47
CNC(=S)NC,-0.24
C1COCCO1,-0.27
Cc1cc(C)[nH]n1,1.01
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.55
Cc1cc(=O)cc(C)o1,0.1
CCNc1ccccc1,2.16
O=C(O)C(c1ccccc1)c1ccccc1,3.09
O=[N+]([O-])C(Cl)(Cl)Cl,2.09
NC(CS)C(=O)O,-2.49
CC(=O)C(C)=O,-1.34
Clc1cccc(Cl)c1,3.53
Nc1ccc(Cl)cc1Cl,2.78
Cc1ccc(Cl)cc1Cl,4.24
Cc1ccccc1Cl,3.42
Cc1cccc(Cl)c1,3.28
Cc1cccc(O)c1,1.96
O=C(O)COc1ccc(Cl)cc1,2.25
CCCCNCCCC,2.83
O=c1ccc2ccccc2o1,1.39
OC/C=C/c1ccccc1,1.95
CC(C)c1ccccc1,3.66
CCCCCCCCCC,5.01
c1ccc(CCc2ccccc2)cc1,4.79
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,3.5
CC[N+](=O)[O-],0.18
C#CCO,-0.38
C=CC=O,-0.01
CC(=O)c1ccccc1N,1.63
CCBr,1.61
CCI,2.0
CCOC=O,0.23
CCOC(=O)C(Cl)(Cl)Cl,2.39
CCOC(=O)CBr,1.12
CCOC(=O)NC,0.34
CCOCCO,-0.32
CCOC(=O)CC,1.21
CCOC(=O)OCC,1.21
CCOC(=O)C(=O)OCC,0.56
Cc1cccc(F)c1,2.75
Cc1ccc(F)cc1,2.58
O=CNc1ccccc1,1.15
CCOC(=O)CC(=O)OCC,0.96
CCOC(=O)c1cccnc1,1.32
CCc1cccc(O)c1,2.4
CCOC(=O)CCC(=O)OCC,1.2
CCOC(=O)CCCCC(=O)O,0.91
CCOC(=O)C(=O)C(O)C(O)OCC,-0.29
CCC1CCCCC1,4.56
CCOC(=O)c1ccccc1,2.64
CCOS(=O)(=O)c1ccc(C)cc1,1.81
CCOC(=O)Cc1ccccc1,2.28
C=CCc1ccc(O)c(OC)c1,2.27
CCOC(=O)/C(C#N)=C/c1ccccc1,2.43
CCOC(=O)c1ccccc1C(=O)OCC,2.47
CCCCCCCCCCCC(=O)OCC,5.71
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.51
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,4.88
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,3.45
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,6.1
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,6.16
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.83
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,5.2
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,6.5
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.81
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,6.91
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,6.02
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,4.78
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.13
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,5.08
Cc1ccc([N+](=O)[O-])cc1N,1.87
CN(C)C(=O)Nc1ccc(Cl)cc1,1.94
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.68
O=Cc1ccccn1,0.44
O=Cc1cccnc1,0.29
O=Cc1ccncc1,0.43
CNC(C)C(O)c1ccccc1,0.93
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.62
CC(=O)c1ccc(C(C)C)cc1,2.98
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-0.9
ClCCCBr,2.18
O=C(O)/C=C/c1ccccc1,2.13
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.14
O=c1[nH]cc(O)[nH]1,-1.69
OCC(O)CO,-1.76
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,5.04
C=CC(=C)C,2.42
O=C(O)CCCC(=O)O,-0.29
NC(CCC(=O)O)C(=O)O,-3.69
CSCCC(N)C(=O)O,-1.87
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,5.73
Ic1ccccc1,3.25
Oc1ccccc1I,2.65
Nc1ccc(I)cc1,2.34
Oc1ccc(O)cc1,0.59
CC(C)CC(N)C(=O)O,-1.52
NCCCCC(N)C(=O)O,-3.05
CCCCCCO,2.03
O=C1Nc2ccccc2C1=O,0.83
CC(=O)c1ccccc1O,1.92
COc1cccc(C(=O)O)c1,2.02
Cc1cc(C)cc(O)c1,2.35
C1=Cc2ccccc2C1,2.92
O=C(O)CCc1ccccc1,1.84
Cc1cc(C)cc(C)c1,3.42
CC(C)CCOCCC(C)C,4.25
CC(C)CCOC(=O)c1ccccc1,4.15
CCCCOC(C)=O,1.78
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.15
CC(=O)c1ccc(OCC(=O)O)cc1,0.87
CI,1.51
CC(Cl)(Cl)Cl,2.49
CSSC,1.77
COC(=O)C(=O)OC,-0.17
CCC(=O)OC,0.84
C1COCCN1,-0.86
CC(=O)C(C)C,0.84
CCCC(=O)OC,1.29
CN1CCOCC1,-0.33
Cn1ccccc1=O,-0.23
CC1CCCCC1,3.61
COC(=O)c1ccc(Br)cc1,2.95
COC(=O)c1ccccc1,2.12
CNc1ccccc1C,2.16
CNc1cccc(C)c1,2.19
Cc1cccc(CO)c1,1.6
C=C(C)c1ccccc1,3.48
CC(=O)c1ccc(C)cc1,2.1
COC(=O)c1ccccc1C,2.75
COC(=O)Cc1ccccc1,1.83
Cc1cc(=O)oc2cc(O)ccc12,1.9
Cc1cccc2cccnc12,2.6
COC(=O)/C=C/c1ccccc1,2.62
CCCCCCCCCCCCCCCCCC(=O)OC,8.35
NC(=O)C(F)(F)F,0.12
Fc1ccc(Br)cc1,3.08
O=C(Nc1ccccc1)C(F)(F)F,2.21
C(=C/c1ccccn1)\c1ccccn1,2.11
CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,2.75
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,2.97
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.11
CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,3.08
CC(C)(C)N,0.4
O=[N+]([O-])c1ccccc1,1.85
Nc1cccc([N+](=O)[O-])c1,1.37
O=C(O)c1ccccc1[N+](=O)[O-],1.46
Cc1ccccc1[N+](=O)[O-],2.3
Cc1cccc([N+](=O)[O-])c1,2.45
Cc1ccc([N+](=O)[O-])cc1,2.37
NC(=O)CI,-0.19
O=C(O)CSc1ccccc1,1.88
O=C1C=CC(=O)c2ccccc21,1.71
O=[N+]([O-])c1cccc2ccccc12,3.19
Oc1cccc2ccccc12,2.85
O=S(=O)(O)c1ccc(O)c2ccccc12,-0.44
CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,3.87
NNC(=O)c1ccncc1,-0.7
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,3.13
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.32
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,3.36
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.47
CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,3.87
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.94
C#CCCCC,2.73
O=P(N1CC1)(N1CC1)N1CC1,-0.62
CC(C)C(N)C(=O)O,-2.26
ClC(Cl)=C(Cl)Cl,3.4
O=[N+]([O-])c1ccc(Cl)cc1,2.39
Nc1ccccc1[N+](=O)[O-],1.85
Nc1ccc([N+](=O)[O-])cc1,1.39
CC1OC(C)OC(C)O1,0.67
O=C(O)c1cccc([N+](=O)[O-])c1,1.83
NNC(=O)c1ccc([N+](=O)[O-])cc1,0.35
O=C(CBr)c1ccccc1,2.19
O=[N+]([O-])/C=C/c1ccccc1,2.11
O=C(O)COc1ccccc1,1.34
Cc1cccc(C)c1[N+](=O)[O-],2.95
CCOc1ccc([N+](=O)[O-])cc1,2.53
CN(C)c1cccc([N+](=O)[O-])c1,2.16
