smiles,logP
CN(C)c1ccc([N+](=O)[O-])cc1,2.27
CCCCCCCCBr,4.89
CCCCCCCC,5.18
CCCCCCCCO,3.0
CCCCCCCCN,2.9
CC(=O)Nc1ccc(C)cc1[N+](=O)[O-],1.49
CC(=O)Cc1ccccc1,1.44
O=S(=O)(O)c1cccc2c(O)cccc12,-0.17
CC(=O)Oc1cccc2ccccc12,2.78
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.47
c1ccc2c(c1)ccc1ncccc12,3.43
CCCCCCCC/C=C/CCCCCCCC(=O)O,7.64
Oc1cccc(C(F)(F)F)c1,2.95
CCOc1ccc(O)cc1,1.81
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,7.54
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4.01
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,3.23
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,3.69
Cc1ccc(S(N)(=O)=O)cc1,0.82
CCc1ccc(S(N)(=O)=O)cc1,1.31
NS(=O)(=O)c1ccc(Cl)cc1,1.15
CCC(Br)(CC)C(=O)NC(N)=O,1.54
CCC(C)C(N)C(=O)O,-1.7
NC(Cc1ccccc1)C(=O)O,-1.44
NC(C=O)C(O)O,-3.07
NC(Cc1ccc(O)cc1)C(=O)O,-2.04
O=C(O)CNC(=O)c1ccccc1,0.31
NCCO,-1.31
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.46
OC1CCCCC1O,0.23
CCc1ccccc1O,2.47
O=Cc1c[nH]c2ccccc12,1.68
COc1cccc(OC)c1OC,1.53
COC(=O)CCc1ccccc1,2.32
O=C(O)CCCC(=O)c1ccccc1,1.49
C=CN1CCCC1=O,0.37
O=C(O)COc1ccccc1F,1.39
O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,4.38
Fc1ccc(F)c(F)c1,2.52
Fc1cccc(Br)c1,2.92
Fc1cccc(Cl)c1,2.76
Fc1ccc(Cl)cc1,2.78
Fc1ccccc1F,2.37
O=[N+]([O-])c1ccc(F)cc1,1.8
O=[N+]([O-])c1ccc(F)cc1O,1.91
Fc1cccc(F)c1,2.21
Fc1ccc(F)cc1,2.13
Nc1ccc(F)c(Cl)c1,2.06
Oc1ccccc1F,1.71
Oc1ccc(F)cc1,1.77
Nc1ccc(F)cc1F,1.54
Nc1cccc(Br)c1,2.1
Nc1ccccc1F,1.26
Nc1cccc(F)c1,1.3
FC(F)(F)c1ccccc1Cl,3.53
O=[N+]([O-])c1cccc(C(F)(F)F)c1,2.62
Nc1cc(C(F)(F)F)ccc1Cl,3.06
O=C(O)c1ccccc1F,1.77
O=C(O)c1cccc(F)c1,2.15
O=C(O)c1ccc(F)cc1,2.07
Nc1ccccc1C(F)(F)F,2.41
Nc1ccc(C(F)(F)F)cc1,1.95
COc1ccccc1F,2.14
FC(F)(F)c1cccc(C(F)(F)F)c1,3.83
CC(=O)Nc1cccc(F)c1,1.65
CC(=O)Nc1ccc(F)cc1,1.47
CCCCC(N)C(=O)O,-1.53
O=c1[nH]c2ccccc2[nH]1,1.12
O=C1OC(=O)c2ccccc21,1.6
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,3.02
N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,-0.21
CNCC(=O)O,-2.78
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61
CC(=O)NS(=O)(=O)c1ccc(N)cc1,-0.96
Cc1cc(C)[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,0.89
OC(c1ccccc1)C(O)c1ccccc1,1.91
OCCCCCl,0.85
NCCc1ccccc1,1.41
CC(C)=CC=C(C)C,3.5
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.07
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,2.1
CCCCCC1(CC)C(=O)NC(=O)NC1=O,2.24
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1.97
CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,1.32
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,2.4
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,3.55
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67
CNC(=O)Nc1ccccc1,1.12
CN(C)C(=O)c1ccccc1,0.62
BrC1CCCCC1,3.2
COC(=O)CCCCC(=O)OC,1.03
Cc1ccc(C(C)C)c(O)c1,3.3
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,2.34
OCCNCc1ccccc1,0.79
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,2.88
Cn1c(O)ccc1O,-0.95
CS(=O)(=O)Nc1ccccc1,0.95
Nc1ccc2ccc3cccc4ccc1c2c34,4.31
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.3
c1ncncn1,-0.73
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.69
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.78
Cc1ccc2cc(C)c(C)cc2c1,4.73
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,2.52
CC1C(=O)C(=O)c2ccccc2C1=O,1.2
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.45
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4.49
Nc1ccc2c(c1)Cc1ccccc1-2,3.14
Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,3.06
O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],2.42
CC1(O)CCC2C3CCC4CC(=O)CCC4(C)C3(F)C(O)CC21C,2.38
NC(=O)Nc1ccc(Cl)cc1,1.8
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,2.53
c1ccc(CNc2ccccc2)cc1,3.13
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.06
Cn1cc(O)[nH]c1=N,-1.76
O=C(O)c1cccnc1,0.36
COC(=O)c1cccnc1,0.83
NC(=O)c1cccnc1,-0.37
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,3.27
c1ccc2nc3ccccc3nc2c1,2.84
NC(CSSCC(N)C(=O)O)C(=O)O,-5.08
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-0.62
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,1.16
O=C1C=CC(=O)N1,-0.29
CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.73
CCN=c1nc(Cl)[nH]c(N(CC)CC)n1,3.34
CCN=c1[nH]c(Cl)nc(=N)[nH]1,1.15
CC(=O)Oc1c[nH]c2ccccc12,2.01
CNCC(O)c1cccc(O)c1,-0.31
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.22
N=c1[nH]cnc2[nH]cnc12,-0.09
CCOC(=O)N(C)C,0.89
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,0.24
CN(C)CC(=O)O,-2.91
O=C(O)Cc1ccc(Cl)cc1,2.12
O=C(O)Cc1ccc(Br)cc1,2.31
O=C(O)Cc1cccc(O)c1,0.85
CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,4.42
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.06
CC(C)c1ccc([N+](=O)[O-])cc1,3.45
CC(C)C(=O)C(C)C,1.86
CCCCCCC(C)O,2.9
CCCCCCCC(C)=O,3.14
Oc1ccccc1C=Nc1ccccc1,3.09
O=C(Nc1ccccc1)c1ccccc1O,3.27
CNC(=O)NC,-0.49
NC(=O)c1cnccn1,-0.6
c1ccc(-c2ccccc2)cc1,3.98
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,5.54
O=c1c2ccccc2oc2ccccc12,3.39
Nc1cccc(C(=O)O)c1,0.65
Nc1cccnc1,0.11
N=c1cc[nH]cc1,0.26
O=C(O)c1ccccc1Cl,2.05
CC(=O)c1ccccn1,0.85
O=C(Cc1ccccc1)Nc1ccccc1,2.7
CNCCc1ccccc1,1.91
C=c1cc(O)c(=C)cc1O,1.28
O=C(O)c1cccc(C(=O)O)c1,1.66
c1ccc2c(c1)CCCN2,2.29
CCCOC(=O)c1ccccc1C(=O)OCCC,3.27
CC(C)OC(=O)c1ccccc1C(=O)OC(C)C,2.83
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,4.11
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,8.06
O=Cc1ccccc1Cl,2.33
Cc1ccccc1N,1.32
Cc1cccc(N)c1,1.4
Cc1ccc(N)cc1,1.39
COc1cc(C=O)ccc1O,1.21
COC(=O)c1ccccc1C(=O)OC,1.56
CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.17
O=[As](O)(O)c1ccccc1,0.06
C=CC1CC=CCC1,3.93
O=C(O)Cc1cccc2ccccc12,2.24
O=Cc1ccc(C(=O)O)cc1,1.76
O=c1c2ccccc2sc2ccccc12,3.99
c1ccc2c(c1)ccc1cccnc12,3.43
CCC(C)(C)C(=O)O,1.9
CCN(CC)C(=O)c1ccccc1,1.25
O=[N+]([O-])CCO,-0.42
CNCCNC,-0.62
c1ccc(-n2cccc2)cc1,3.08
CC(=O)C(N)C(O)O,-2.94
CN(C)c1ccc(C(=O)O)cc1,1.28
O=C(O)c1cc2ccccc2[nH]1,2.31
NC(=O)C(Cl)(Cl)Cl,1.04
O=C(O)c1ccc(O)c(O)c1,0.86
Cc1ccc(C(=O)O)c(O)c1,2.99
CC(=O)c1ccc(C(=O)O)cc1,1.61
COc1cc(CC(=O)O)ccc1O,0.33
COc1ccccc1OC,1.6
O=C/C=C/c1ccccc1,1.9
N#CCCc1ccccc1,1.72
CCC(=O)c1ccccc1,2.19
ClCCCc1ccccc1,3.55
NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.74
CCCc1ccccc1,3.69
OCCCc1ccccc1,1.88
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,7.6
O=C(O)C1CCCCN1,-2.31
CCOC(=O)C(N)Cc1ccc(O)cc1,0.72
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55
CN(C)CCCN1c2ccccc2S(=O)c2ccc(Cl)cc21,2.32
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.03
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.88
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.19
Cc1ccc(O)c(O)c1,1.37
c1cc2ccc3cccc4ccc(c1)c2c34,4.88
CC(=O)c1ccc(Br)cc1,2.43
CC1=CC(=O)C=C(C)C1=O,1.22
N#C/C=C/C#N,-0.25
N#Cc1cccnc1,0.36
N#Cc1ccccc1C#N,0.99
Nc1cccc(Cl)c1,1.88
O=C(O)c1ccc(Br)cc1,2.86
O=C(O)c1ccc(Cl)c(Cl)c1,3.25
Clc1ccc(Br)cc1,3.54
Oc1cccc(-c2ccccc2)c1,3.23
CCC(C)[N+](=O)[O-],1.2
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,2.07
CCC(CC)=C(c1ccc(O)cc1)c1ccc(O)cc1,5.07
CNC(=O)Oc1ccc(C(C)=O)cc1,1.01
[O-][n+]1ccccc1,-1.2
Cc1cccnc1,1.2
Cc1ccncc1,1.22
C=Cc1ccccn1,1.54
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,3.08
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-1.46
ClCCN(CCCl)c1ccccc1,2.9
Oc1cccnc1,0.48
C=C(C)C(=O)OCC(C)C,2.66
C=CCc1ccccc1,3.23
CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,5.18
Cc1nn(-c2ccccc2)c(C)c1N=O,2.28
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.21
O=NN1CCCC1,-0.19
CC(C)c1cccc(=O)c(O)c1,1.89
CC(C)c1ccc(O)c(=O)cc1,1.89
O=c1cc(-c2ccccc2)oc2ccccc12,3.56
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,0.83
c1ccc(Oc2ccccc2)cc1,4.21
O=C(O)CCCCCCCC(=O)O,1.57
COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,2.73
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,3.93
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,1.09
CCN(CC)CCN,0.21
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,1.54
C[Hg]Cl,0.41
COC(=O)c1cccc(C)c1,2.77
O=C(O)c1cc(O)c(O)c(O)c1,0.7
NC(CCCc1ccccc1)C(=O)O,-0.36
S=C=Nc1ccc(Cl)cc1,3.91
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-1.98
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-2.1
Nc1ccc(S)cc1,1.31
O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12,2.58
C=C(C)C#N,0.68
ON=C(c1ccccc1)c1ccccc1,3.2
OCCn1nnc2ccccc21,0.5
NNC(=O)Nc1ccccc1,0.16
NS(=O)(=O)c1ccc(O)cc1,0.06
O=C(c1ccccc1)c1ccccn1,1.88
C=CCNCC=C,1.11
C=CC(=O)OCC(C)C,2.22
C=C(C)C(=O)OCCCC,2.88
C=C(C)C(=O)OC(C)(C)C,2.54
C=C(C)C(=O)OC1CCCCC1,3.13
O=C(O)C(CO)c1ccccc1,0.77
Cc1cccc2ccc3ccccc3c12,5.08
Nc1cc(Cl)cc(Cl)c1,2.9
Cc1ncc(CO)c(CN)c1O,-1.3
CC(=O)CF,-0.39
FCC1CO1,-0.16
OC(CF)CF,-0.36
S=C1NCCCN1,-0.68
Cc1ncc[nH]1,0.24
CC1=CCC(C(C)C)=CC1,4.5
CC1=CCC(C(C)(C)O)CC1,2.98
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-0.93
Oc1c(F)c(F)c(F)c(F)c1F,3.23
Fc1c(F)c(F)c(F)c(F)c1F,2.55
Cc1cc(=N)[nH]c(C)n1,0.39
[O-][n+]1cccc2ccccc21,0.36
COc1cccc(O)c1,1.34
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,5.97
CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.53
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,6.42
CCCC[Sn](Cl)(CCCC)CCCC,3.68
CCCOC(=O)c1ccc(C(=O)OCCC)nc1,3.57
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,7.11
N=c1[nH]c(=O)c2ncn(C3CC(O)C(CO)O3)c2[nH]1,-1.3
CC(=O)NC1CCSC1=O,-0.35
CC(C)(S)C(N)C(=O)O,-1.78
O=C(O)c1cc(O)cc(O)c1,0.86
NS(=O)(=O)c1ccc(C(=O)O)cc1,0.5
O=C(O)c1ccc(-c2ccccc2)cc1,3.75
Cc1ccccc1O,1.95
N=C(N)N=C(N)NCCc1ccccc1,-0.83
CN(C)N=O,-0.57
CC/C(=C\c1ccccc1)[N+](=O)[O-],2.86
CCCOC(=O)c1ccc(N)cc1,2.43
O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1,-1.51
N#CCCN(CCC#N)N=O,0.08
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.34
O=[N+]([O-])/C=C/c1cccc([N+](=O)[O-])c1,1.82
CN(N=O)C(N)=O,-0.03
CCCCCCCCOC(=O)CCCCCCC,6.51
O=C(OCCc1ccccc1)c1ccccc1,4.01
C=CC(=O)OC,0.8
C=C(C)C(=O)OCC,1.94
C=C(C)C(=O)OCC(CC)CCCC,4.54
C=C(C)C(=O)OCCO,0.47
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,7.05
CCCCCCC1CCC(=O)O1,2.72
CCCCC1CO1,1.95
COC1=CC(=O)C=C(OC)C1=O,-0.06
COC(=O)c1ccc(C)cc1,2.7
COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,2.01
C1=CCCCC1,2.86
CC1CCCC1,3.37
CC(C)C(C)C,3.42
CC(C)Cc1ccccc1,4.68
c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,8.46
COC(=O)CCC(C)=O,-0.13
Cc1[nH]c2ccccc2c1C,3.05
Oc1ccc(Oc2ccccc2)cc1,3.35
O=C(O)Cc1ccc(O)cc1,0.75
Fc1ccc(CCl)cc1,2.73
CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,3.16
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.42
NCCCC(N)C(=O)O,-4.22
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.3
NC(=O)OCc1ccccc1,1.2
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(c6coc(O)c6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,-2.0
CCC(C)(C)O,0.89
CCC(C)O,0.61
CC(O)c1ccccc1,1.42
Nc1ccc(C(=O)O)cc1F,1.41
CC(N)=O,-1.26
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.88
CCCCCCCCCCCCCCCCCC(=O)O,8.23
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,2.18
CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,2.93
Cc1cccc(C#N)n1,0.84
OCc1ccncc1,0.06
OCc1ccc(Cl)c(Cl)c1,2.74
NCCCCCC(=O)O,-2.95
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,3.99
c1ccc2c(c1)ccc1ccccc12,4.46
OCc1ccc2c(c1)OCO2,1.05
O=P1(N(CCCl)CCCl)NCCCO1,0.63
c1ccc2[nH]ncc2c1,1.77
Oc1ccc2ncccc2c1,1.98
C1OCOCO1,-0.43
CC1(C)C2CCC1(C)C(O)C2,2.69
O=C(O)CSCc1ccccc1,2.1
O=C1C=CC(=O)c2c(O)ccc(O)c21,1.79
O=c1cc(-c2ccccc2)oc2cccc(O)c12,4.3
O=Cc1ccc2c(c1)OCO2,1.05
COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12,-0.4
N#Cc1c2ccccc2cc2ccccc12,4.26
Brc1cc(Br)c(Br)cc1Br,5.13
Clc1cc(Cl)c(Cl)cc1Cl,4.64
CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15
CC(N)Cc1ccccc1,1.76
C1CCNCC1,0.84
Nc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,2.04
CC(=O)Oc1ccccc1C(=O)O,1.19
Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,0.14
O=c1[nH]c(O)c(-c2ccccc2)[nH]1,0.46
CNC(=O)Oc1cccc2ccccc12,2.36
NCCCC(=O)O,-3.17
NC(=O)CCC(N)C(=O)O,-3.64
NC(Cc1c[nH]cn1)C(=O)O,-3.32
NC(=O)NCCCC(N)C(=O)O,-3.19
O=C(O)c1cccc(O)c1O,1.2
O=C(O)c1ccc(O)c(O)c1O,1.05
CCN(CC)CCNC(=O)c1ccc(N)cc1,0.88
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.16
CC(=O)Oc1ccccc1,1.49
COc1ccc(CC(=O)O)cc1,1.42
ClCCc1ccccc1,2.95
Nc1cccc2ncccc12,1.16
Nc1cc(Cl)ccc1O,1.81
COc1cccc(OC)c1C(=O)O,0.66
Oc1cccc2c1CCCC2,2.95
CN(C)CCN(C)C,0.3
Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,4.29
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,-0.13
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,3.8
CC(C)OC(=O)Nc1cccc(Cl)c1,3.51
N#CC(C#N)=NNc1ccccc1,2.67
CN(Cc1cnc2[nH]c(=N)[nH]c(=N)c2n1)c1c(Cl)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Cl,-0.1
CCCCOC(=O)Nc1ccccc1,3.3
C1COC1,-0.14
O=CNc1cccc(Cl)c1,1.9
c1ccc2c(c1)OCO2,2.08
O=C(O)c1cc(Cl)ccc1O,3.09
O=C(O)CCCCCC(=O)O,0.61
O=C(O)COc1cccc(Cl)c1,2.03
O=S(=O)(Nc1ccccc1)c1ccccc1,2.58
CNC(N)=S,-0.69
CCCO,0.25
O=C1CCN(c2ccccc2)N1,0.89
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.81
O=[N+]([O-])c1ccncc1,0.33
Cc1cnccn1,0.21
CCCC(C)(COC(N)=O)COC(N)=O,0.7
COc1cc(CCN)cc(OC)c1OC,0.78
CCC1(CC)C(=O)NCC(C)C1=O,0.78
CC(=O)Nc1cccc(C(F)(F)F)c1,2.56
CCN(CC)CC,1.45
CCNCC,0.58
ClCC#CCCl,2.01
CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,1.28
CC(=O)c1ccc(F)cc1,1.72
CC(=O)Nc1ccc(S(=O)(=O)F)cc1,2.17
C=CCOP(=O)(OCC=C)OCC=C,1.76
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,1.58
c1ccc2c(c1)Cc1ccccc1C2,4.25
c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21,8.39
c1ccc2cc3c(ccc4ccccc43)cc2c1,5.76
NS(=O)(=O)c1ccc(Br)cc1,1.36
CC(C)COC(N)=O,0.65
CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.07
CCC1(CC)C(=O)NC(=O)NC1=O,0.65
CCC(=O)c1ccncc1,0.77
CC(=O)C(O)O,-0.72
COC(=O)C1=CCCN(C)C1,0.35
NC(=O)CF,-1.05
CN(C)C(=S)Nc1ccccc1,1.04
NC(O)=NO,-1.8
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-2.14
OC(c1ccccc1)c1ccccc1,2.67
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,2.46
CCCCc1c(O)[nH]c(=O)[nH]c1=O,0.77
C=C(C)CC1(CC)C(=O)NC(=S)NC1=O,2.19
COC(=O)COc1ccccc1,1.41
CC(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.72
C=CCOCCO,-0.1
C=C(C)C(=O)OCC(F)(F)F,1.56
C=CCN(CC=C)CC=C,2.59
COc1ccc(CC(C)N)cc1,1.77
N=c1[nH]cnc2[nH]nnc12,-0.96
OCCO,-1.36
NC(=O)/C=C/c1ccccc1,1.43
CCOC(=O)NC(O)C(Cl)(Cl)Cl,1.84
CN(C)CCOC(c1ccccc1)c1ccccc1,3.27
CCC1(c2ccccc2)NC(=O)NC1=O,1.53
COc1cc2ccc(=NC(C)=O)c3c(c2c(OC)c1OC)CCC(=O)C(O)C3,1.2
S=C(NC1CCCCC1)NC1CCCCC1,3.69
O=c1cc(-c2ccccc2)ss1,3.01
NCCc1c[nH]cn1,-0.7
O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,3.74
CCN(CC)C(=O)c1cccc(C)c1,2.18
CC(=O)Oc1cccc([N+](=O)[O-])c1,1.82
BrCCc1ccccc1,3.09
Brc1ccc(Br)cc1,3.79
CCCCOC(=O)c1cc(O)c(O)c(O)c1,2.41
ClCc1ccc(Cl)cc1,3.18
O=C1C=CC(=O)c2c(O)cccc21,1.92
NC(N)=O,-2.11
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.94
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.18
Nc1ccccc1I,2.32
Nc1cccc(I)c1,2.86
COC(=O)c1ccccc1I,2.74
CCC1(c2ccccc2)NC(=O)N(C)C1=O,1.69
Oc1ccc(Cl)c2cccnc12,2.88
c1ccc(CC2=NCCN2)cc1,2.65
CC(=O)C(Cc1ccccc1)C(C)=O,1.89
COc1c(Cl)cc(Cl)cc1Cl,4.11
ClCC(Cl)CCl,2.27
CC=CC=CC(=O)O,1.33
C=CC1CCC2OC2C1,2.08
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.9
Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,-0.24
CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,1.65
ICCCI,3.02
CC(=O)O[Hg]c1ccccc1,0.71
c1cnc2c(c1)ccc1ncccc12,2.05
c1cnc2ccc3ncccc3c2c1,2.05
ICI,2.3
Cc1cccc(OCC(=O)O)c1,1.78
Cc1nc(C)c(C)nc1C,1.28
