logP,smiles,Temperature,pH
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.53
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,1.17
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,1.88
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.56
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,25.0,5.29
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,25.0,3.05
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,7.48
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.2
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,2.41
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.3
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.08
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.5
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.5
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.14
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.0
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.6
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.0
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,1.24
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,3.39
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,2.92
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,7.3
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,3.57
0.54,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.32
2.89,CCc1ccc(C(=O)O)cc1,22.0,3.0
0.87,CC(C)COC(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
0.89,CCCCOC(=O)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
-2.26,NC(Cc1ccc(O)cc1)C(=O)O,25.0,7.0
0.95,C=CCC1(CC)C(=O)NC(=O)NC1=O,23.0,3.5
-1.66,N=c1[nH]c(=O)c2ncn(COC(CO)CO)c2[nH]1,23.0,7.0
0.97,CCC1(C(C)C)C(=O)NC(=O)NC1=O,33.0,5.0
0.97,CCC1(C(C)C)C(=O)NC(=O)NC1=O,33.0,7.9
1.15,CCC1(CC)C(=O)NC(=O)N(C)C1=O,25.0,8.3
1.15,CCC1(CC)C(=O)NC(=O)N(C)C1=O,25.0,4.7
0.66,CCCC1(CC)C(=O)NC(=O)NC1=O,25.0,5.0
0.97,CCC1(C(C)C)C(=O)NC(=O)NC1=O,25.0,5.0
0.97,CCC1(C(C)C)C(=O)NC(=O)NC1=O,25.0,7.9
2.93,CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,20.0,10.0
0.95,CCC(CC)(C(=O)NC(N)=O)C(=O)OC,23.0,3.5
2.69,CCN=c1[nH]c(OC)nc(=NC(C)C)[nH]1,26.0,7.0
2.98,CCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,26.0,3.0
3.68,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,25.0,5.0
3.68,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,25.0,7.2
2.04,[O-][n+]1nc(-n2ccnc2)nc2ccc(Cl)cc21,20.0,4.0
2.47,c1ccc2[nH]c(-c3cscn3)nc2c1,21.0,6.0
2.47,c1ccc2[nH]c(-c3cscn3)nc2c1,25.0,2.0
1.19,Nc1cnn(-c2ccccc2)c(=O)c1Cl,20.0,7.0
3.2,Cc1ccc(NN=C(C#N)C#N)cc1,25.0,3.0
3.2,Cc1ccc(NN=C(C#N)C#N)cc1,25.0,7.2
3.2,Cc1ccc(NN=C(C#N)C#N)cc1,25.0,5.0
2.68,Cc1cc2ccccc2cn1,20.0,8.72
-0.97,Nc1c(S(=O)(=O)O)ccc2ccccc12,20.0,2.9846
-0.97,Nc1c(S(=O)(=O)O)ccc2ccccc12,20.0,1.9387
-1.16,Nc1ccc2ccccc2c1S(=O)(=O)O,25.0,2.1277
3.53,O=C(O)CCCOc1ccc(Cl)cc1Cl,22.0,4.33
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.55
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.44
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.8
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.2
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,6.01
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,6.82
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,4.89
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,3.06
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.89
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.0
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.12
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,5.5
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,4.8
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.5
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.94
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.5
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.3
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,6.35
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.38
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,7.56
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,5.25
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,8.0
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,7.67
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,1.55
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,2.31
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,7.23
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,2.69
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.9
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,5.7
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,25.0,1.89
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.4
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.37
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.32
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.87
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.85
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,5.24
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.92
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.11
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,7.6
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.4
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,5.73
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,5.41
-0.09,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,37.0,6.93
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,25.0,1.15
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,25.0,2.08
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,25.0,5.41
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,25.0,0.45
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,5.98
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,4.96
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,25.0,7.83
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,32.0,7.16
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,32.0,7.81
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,25.0,7.17
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,25.0,5.5
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,25.0,7.0
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,2.32
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,1.15
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,32.0,0.45
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,32.0,3.36
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,0.45
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,32.0,5.45
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,7.01
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,3.43
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,32.0,4.04
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,7.79
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,7.16
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,5.48
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,32.0,2.24
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,32.0,1.15
0.89,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,37.0,4.11
2.59,CCOc1ccc2nc(S(=O)(=O)NC)sc2c1,37.0,7.2
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,7.1
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.2
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.5
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.7
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.6
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.2
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,3.8
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.8
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.6
1.01,CCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.6
3.04,CCCOC(=O)c1ccc(O)cc1,25.0,5.46
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,5.8
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,5.94
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,3.13
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,4.41
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,2.65
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,3.28
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,4.03
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,36.0,5.66
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,5.42
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,4.92
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,6.23
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,5.48
2.27,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,37.0,6.01
3.84,CCC(C)c1ccc(O)c([N+](=O)[O-])c1,20.0,1.5
1.73,CC(=O)N(C)S(=O)(=O)c1ccc(C)cc1,22.0,7.4
0.04,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,25.0,7.0
-1.89,N=c1[nH]c(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,23.0,7.0
0.85,CN(C)CNC(=O)c1ccccc1,22.0,11.2
1.65,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,33.0,5.0
1.65,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,25.0,5.0
1.65,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,25.0,4.7
1.73,CCCCC1(CC)C(=O)NC(=O)NC1=O,25.0,5.0
1.65,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,25.0,8.0
1.65,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,33.0,8.0
1.73,CCCCC1(CC)C(=O)NC(=O)NC1=O,33.0,7.9
1.73,CCCCC1(CC)C(=O)NC(=O)NC1=O,25.0,7.9
0.4,CN=C(NCCSCc1[nH]cnc1C)NC#N,25.0,5.0
0.4,CN=C(NCCSCc1[nH]cnc1C)NC#N,25.0,6.8
0.4,CN=C(NCCSCc1[nH]cnc1C)NC#N,25.0,7.4
1.45,CCOC(=O)C(CC)(CC)C(=O)NC(N)=O,23.0,3.5
3.51,CCCC(=O)OC(C)OP(=O)(OCC)OCC,25.0,7.0
2.15,N#CC(C#N)=NNc1ccc(C(=O)CCl)cc1,25.0,7.0
2.15,N#CC(C#N)=NNc1ccc(C(=O)CCl)cc1,25.0,5.0
1.73,O=C(Oc1ccccc1)n1c(=O)[nH]cc(F)c1=O,22.0,4.0
0.64,O=C(Oc1ccccc1)n1cc(F)c(=O)[nH]c1=O,22.0,4.0
-1.11,Cc1cnc2c(C(=O)O)c(Cl)ccc2c1,25.0,9.0
2.1,CC(=O)c1ccc(NN=C(C#N)C#N)cc1,25.0,3.0
3.28,O=C(O)c1ccc2ccccc2c1,25.0,1.0
3.58,N#CC(C#N)=NNc1ccc(CCCl)cc1,25.0,5.0
3.58,N#CC(C#N)=NNc1ccc(CCCl)cc1,25.0,7.2
3.58,N#CC(C#N)=NNc1ccc(CCCl)cc1,25.0,3.0
1.83,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,25.0,3.0
1.83,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,25.0,7.2
1.83,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,25.0,5.0
0.82,Nc1ccc(S(=O)(=O)N=c2[nH]cccc2Cl)cc1,37.0,7.0
0.35,Nc1ccc(S(=O)(=O)N=c2cccc[nH]2)cc1,37.0,7.81
0.35,Nc1ccc(S(=O)(=O)N=c2cccc[nH]2)cc1,37.0,7.25
0.35,Nc1ccc(S(=O)(=O)N=c2cccc[nH]2)cc1,37.0,5.1
1.73,N=c1[nH]c(N)ccc1N=Nc1ccccc1,25.0,4.46
1.73,N=c1[nH]c(N)ccc1N=Nc1ccccc1,25.0,4.78
1.73,N=c1[nH]c(N)ccc1N=Nc1ccccc1,25.0,4.4
1.73,N=c1[nH]c(N)ccc1N=Nc1ccccc1,25.0,5.37
0.38,Cc1cc(=O)n(-c2ccccc2)n1C,25.0,7.4
1.34,CCC1(c2ccccc2)NC(=O)NC1=O,37.0,7.0
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,5.5
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,7.5
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,6.5
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,25.0,4.58
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,30.0,4.58
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,35.0,4.58
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,40.0,4.58
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,25.0,5.5
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,25.0,7.0
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,5.24
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,5.41
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,6.27
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,6.41
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,6.95
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,7.07
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,7.3
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,7.57
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,6.0
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,4.9
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,5.9
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,6.4
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,6.8
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,7.2
0.14,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,37.0,7.6
0.41,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,37.0,6.62
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,6.2
0.41,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,37.0,8.48
0.41,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,37.0,8.07
0.41,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,37.0,7.67
0.41,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,37.0,8.88
0.41,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,37.0,7.22
0.41,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,37.0,6.96
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,7.0
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,6.5
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,4.5
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,4.8
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,5.4
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,5.9
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,5.0
0.41,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,37.0,5.37
0.32,COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,37.0,6.0
2.02,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,22.0,4.0515
1.21,CN(C)C(=O)COC(=O)c1ccccc1O,21.0,7.4
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,25.0,1.17
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,3.3
0.48,Cc1c/c(=N\S(=O)(=O)c2ccc(N)cc2)n(C)o1,37.0,6.0
0.59,Cc1[nH]c(=NS(=O)(=O)c2ccc(N)cc2)oc1C,37.0,5.98
1.76,Cc1cc(N(C)S(=O)(=O)c2ccc(N)cc2)no1,37.0,7.0
0.59,Cc1[nH]c(=NS(=O)(=O)c2ccc(N)cc2)oc1C,37.0,4.96
0.59,Cc1[nH]c(=NS(=O)(=O)c2ccc(N)cc2)oc1C,47.0,1.3
0.59,Cc1[nH]c(=NS(=O)(=O)c2ccc(N)cc2)oc1C,37.0,6.76
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,6.0
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,25.0,6.0
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,6.8
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,6.4
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,25.0,5.0
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,4.5
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,5.0
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,7.2
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,5.5
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,5.9
1.01,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,37.0,6.3
0.54,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.34
0.54,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.72
0.54,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.63
0.54,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,6.14
0.54,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.89
0.54,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,3.85
0.54,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.61
0.54,CC(C)c1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,4.02
0.54,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.57
0.54,CCCc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,37.0,5.39
